iddemandaseguimiento,iddemandapto,fechasegdem,estado,fuente,referenciafuente,datoscontacto,seguimiento,observaciones
47,33,2026-09-15T04:00:00.000Z,EN PROCESO,NOTA DE RESPUESTA Y RESUMEN DE ACTAS DE REUNIÓN,NOTA DE RESPUESTA Y RESUMEN DE ACTAS DE REUNIÓN,Ivan Beltran Mamani	UISIP / DGAPAS 73421547 Francisco Córdova Mamani	Pto. Carmen	68059076 Eyner Yampasi Apaza	Pto. Carmen	61526222 Marcelino Huanca Mamani	Ejecutivo FAECIOAB ÁREA 5	67166615,"EN FECHA 29 DE JUNIO DE 2026 MEDIANTE NOTA CAR/MDPRyA/VRHRAPySB/DGAPyAS/UAR N° 0434/2026 SE DIO RESPUESTA AL VOTO RESOLUTIVO - PUNTOS 9 Y 10, DONDE SE EXPLICA EL PROCEDIMIENTO DE PRESENTACIÓN DE ITCPs Y EDTPs, PARA DAR CURSO A LA SOLICITUD DE PROYECTOS EN SU MUNICIPIO.
EL MUNICIPIO NO HA HECHO LLEGAR NIGÚN PROYECTO DE ALCANTARILLADO SANITARIO AL VICEMINISTERIO, EL GAM DE PALOS BLANCOS DEBE ELABORAR Y PRESENTAR EL EDTP, PARA LA EVALUACION Y POSTERIOR BUSQUEDA DE FINANCIAMIENTO.
EN FECHA 13 DE JULIO DE 2026 SE SOSTUVO UNA REUNIÓN EN LA CASA GRANDE DEL PUEBLO DONDE PARTICIPÓ EL MUNICIPIO DE PALOS BLANCOS  DONDE SE INFORMÓ SOBRE EL PROGRAMA DE GESTIÓN RESILIENTE, ASÍ COMO LOS AVANCES QUE SE TIENEN EAL MUNICIPIO DE PALOS BLANCOS RESPECTO A LOS COMPROMISOS ANTERIORMENTE ASUMIDOS, TAMBIÉN SE INFORMÓ SOBRE EL ESTADO DE LOS PROYECTOS DE AGUA POTABLE Y ALCANTARILLADO SANITARIO.
EN FECHA 20 DE AGOSTO DEL 2026, SE SOSTUVO UNA REUNIÓN CON FEDERACIÓN AGROECOLÓGICA DE COMUNIDADES INTERCULTURALES ORIGINARIAS PALOS BLANCOS - FAECIOAB ÁREA 5 DONDE REALIZÓ LA SOCIALIZACIÓN DEL REGLAMENTO PARA LA PRESENTACIÓN Y ELABORACIÓN DE PROYECTOS PREINVERSIÓN EN EL SECTOR DE AGUA POTABLE Y ALCANTARILLADO SANITARIO, SOBRE LA BASE DE LA NORMATIVA SECTORIAL VIGENTE. 
TODAS LAS SOLICITUDES DE PROYECTOS DEBERÁN SER DE CONOCIMIENTO DEL GOBIERNO AUTÓNOMO MUNICIPAL DE PALOS BLANCOS; POR LO CUAL SE RECOMENDÓ QUE ESTAS SEAN REMITIDAS A TRAVÉS DE DICHO GOBIERNO MUNICIPAL.
SE ENVIARA UNA NOTA AL ALCALDE INFORMANDO SOBRE LA NORMATIVA Y LAS REUNIONES REALIZADAS CON LAS ORGANIZACIONES SOCIALES DE PALOS BLANCOS, PARA QUE PUEDAN COORDINAR Y PODER PRESENTAR ITCPs AL VICEMINISTERIO.

A LA FECHA NO SE TIENE REGISTROS DE INGRESO DE PROYECTOS (ITCP o EDTP) DE ALCANTARILLADO SANITARIO.",
48,64,2026-05-21T04:00:00.000Z,CONCLUIDO,"VDADI-VICEMINISTRO KAREL RIVERO, ING. LUCIO LIPA",NOTA DE RESPUESTA NOTA SEGUN CITECAR/MDPRyA/VDAyDI/DGPPAP/UGMAP N°0098/2026GPPAP/UGMAP,JAIME TICONA HURTADO (STRIO EJECUTIVO)-LUIS ROCHA FERNANDEZ (STRIO GRAL),"EL PROGRANA NACIONAL DE POZOS FASE II TIENE UN RELEVAMIENTO DE ZONAS A INTERVENIR DONDE SE TIENE DEMANDAS DE ALGUNAS ZONAS DEL DEPARTAMENTO DE ORURO, SE ENCUENTRA EN PROCESO DE APROBACION POR FONPLATA 

VSRASByR: POR PARTE DE VSHASByR SE ENVIÓ NOTA EN FECHA 31/08/2026 A FSTUTCO EXPLICANDO EL PROCEDIMIENTO PARA PRESENTACIÓN DE ITCPS Y EDTP PARA PROYECTOS DE RIEGO.

COMO DIRECCION GEENRAL DE SEGURIDAD HIDRIGA Y RIEGO A LA FECHA SE ENCUENTRAN EN EJECUCION PROYECTOS FINANCIADOS POR EL PROGRAMA PRITEC FINANCIADO CON EL BID DETALLADOS A CONTINUACION:

1.-CONST. SISTEMA DE RIEGO PRESA KASKA (CHALLAPATA) - EL PROYECTO SE ENCUENTRA EN EJECUCIÓN DESDE EL 17/07/2026 A LA FECHA SE PRESENTA UN AVANCE DE CERCANO AL 5%.

2-CONST. SISTEMA DE RIEGO CHUQUICHAMBI (SANTIAGO DE HUAYLLAMARCA) -- EL PROYCETO SE ENCUENTRA EN EJECUCIÓN DESDE EL 20/08/2026 SE PROCEDIO CON EL PAGO DEL ANTICIPO DEL 20%.

3.-CONSTRUCCIÓN SISTEMA DE RIEGO PRESA JACHUYO (SORACACHI) - EL PROYECTO SE ENCUENTRA CON ORDEN DE PROCEDER DESDE EL 19/08/2026, SE PROCEDIÓ CON EL PAGO DEL ANTICIPO DEL 25%.

ASI MISMO, SE VIENE COORDINANDO ACTIVMENTE CON DIFERENTES MUNICIPIOS PARA LA CONFORMACION DE CARTERA DE NUEVOS PROYECTOS.",SIN OBSERVACION
49,76,2026-09-15T04:00:00.000Z,EN PROCESO,INFORMACIÓN REPORTADA POR LA  DIRECCIÓN GENERAL DE GESTIÓN INTEGRAL DE RESIDUOS,MARCELA JOFRE,MARCELA JOFRE 69993694,"DE ACUERDO A LA BASE DE DATOS ACTUAL (2026) NO SE EVIDENCIO REGISTRO DE ITCPS RELACIONADO A PLANTAS DE INDUSTRIALIZACION, SIN EMBARGO A FIN DE CONSIDERAR PROYECTOS DE INDUSTRIALIZACIÓN DE RESIDUOS, ES NECESARIO EVALUAR LA VIABILIDAD TÉCNICA Y EL ALCANCE DEL TIPO DE INDUSTRIALIZACIÓN A REQUERIR ACORDE A CADA MUNICIPIO, INFORMACIÓN QUE DEBE REFLEJARSE EN EL INFORME TÉCNICO DE CONDICIONES PREVIAS (ITCP). PARA TAL EFECTO EN FECHA 19 DE AGOSTO SE ENVIÓ LA NOTA CAR/MDPRyA/VRHRAPySB/DGGIR N°0012/2026 A LA FSUTCO DONDE SE DETALLA LOS REQUSITOS Y EL PROCEDIMIENTO PARA LA PRESENTACIÓN DE ITCP EN GESTIÓN INTEGRAL DE RESIDUOS SOLIDOS PARA UN MUNICIPIO, QUEDANDO A LA ESPERA DE RESPUESTA.


SE REALIZO EN 3 OCASIONES REUNIONES DE ASISTENCIA TECNICA, DONDE SE EXPLICO LOS PROCEDIMIENTOS, SE ACLARÓ COMO SE CONFIGURAN LOS PROYECTOS DE ACUERDO A SU DEMANDA PARA EL SECTOR, EN TAL SENTIDO SE EMITIO UNA NOTA CON CITE: CAR/MDRPYA/VVRHRAPYSB/DGGIR N° 0012/2026, EN LA QUE SE BRINDA TODA LA INFORMACION TECNICA Y LOS MODELOS DE DOCUMENTOS DE PRESENTACION EN FORMATO QR, ASI COMO LOS REQUISITOS PARA QUE PUEDAN REALIZAR LA PRESENTACION, A LA FECHA NOS ENCONTRAMOS  A LA ESPERA DE DICHA DOCUMENTACION CON LA APERTURA DE CONTINUAR BRINDANDO ASISTENCIA TECNICA Y APOYO.",A LA ESPERA DE RESPUESTA.
50,112,2026-08-03T04:00:00.000Z,CONCLUIDO,INFORMACIÓN REPORTADA POR LA  DIRECCIÓN GENERAL DE RIEGO Y ACTA DE REUNIÓN DEL 03.08.26,ACTA DE REUNIÓN DEL 03.08.26,ELIAS TRIGO 72852259,"EN EL MARCO DE LA GESTIÓN DE FINANCIAMIENTO DEL PROYECTO DE RIEGO PARCELARIO PATAMANTA, SE REALIZARON LAS SIGUIENTES ACCIONES:
- APROBACIÓN DEL ESTUDIO
- COMPROMISOS DE CONTRAPARTE DEL GAM Y GAD.
- SOLICITUD DE RATIFICACIÓN DE CONTRAPARTES DE PARTE DEL GAM Y GAD.
- COMPROMISO DE LIBERACION DEL 80% DEL CANDADO ADUCCIÓN MULTIPROPÓSITO
- SOLICITUD DE FINANCIAMIENTO DEL PROYECTO AL VIPFE
- FORMULACIÓN DEL PROGRAMA PAPA (EN BORRADOR)
- REUNIÓN CON PATAMANTA EL 03/08/2026 EN EMAGUA A HRS. 10:00","ACTA DE ACUERDO VRHRAPySB CON LA COMUNIDAD CHURIAQUE
Nota MPD_Patamanta
Nota sol DAM retidicacion contrap patamanta 0206
Nota sol GAD LP ratificación contrap patamanta 0205
RESUMEN REUNION PROYECTO RIEGO PARCELARIO ARPA PATAMANTA Y ACTA DE COMPROMISO 03.08.26"
51,113,2026-09-02T04:00:00.000Z,CONCLUIDO,ACTA DE REUNIÓN,"Cumplido, el CEOLCC realizó la instrucción de que no se permita el traslado de ganado en pie en los 50 km de la frontera, así como se ha fortalecido le lucha contra el contrabando El VLCC realizó gestiones ante el Viceministerio de Justicia Indígena… para que se efectivice la coordinación con los GAM que correspondan, previa solicitud formal de la CONTRACABOL que incluya información de ferial.  El VLCC otorgó a la CONTRACABOL un contacto para que se realicen denuncias de posibles casos de contra",Luis Sanga Cuellar,El CEOLCC dio atención a la demanda,"Esta demanda es competencia exclusiva del VLCC, sin embargo en base al requerimiento el VCLI articuló con los actores para que la demanda sea atendida"
52,114,2026-09-02T04:00:00.000Z,EN PROCESO,ACTA DE REUNIÓN,"La DGDDUC se pondrá en contacto con la Autoridades de Patacamaya, SENASAG e instituciones que correspondan, para la realización de verificativos conjuntos, información que será transmitida al CEOLCC para fines consiguientes. Se programa la verificación para la tercera semana de septiembre",Luis Sanga Cuellar,Se acordó reunión de coordinación para fecha 03 de septiembre para iniciar el verificativo.,"Considerando que Patacamaya no es ciudad fronteriza, para dar una solución a la demanda se acordó realizar verificativos en el marco de las atribuciones de la DGDDUC"
53,115,2026-08-20T04:00:00.000Z,CONCLUIDO,ACTA DE REUNIÓN,En fecha 18 de agosto el OAP se realiza el relevamiento de información en coordinación con Jesús Huchani,Jesus Huchani,Se realizó el trabajo de recolección de información,El informante puso a disposición su frigorífico para realizar el desposte de un vacuno.
54,116,2026-09-02T04:00:00.000Z,CONCLUIDO,NOTA,Se dio respuesta a la CONTRACABOL,Luis Sanga Cuellar,El SENASAG comprometió otorgar la información a CONTRACABOL,
55,117,2026-09-02T04:00:00.000Z,EN PROCESO,ACTA DE REUNIÓN,En fecha 27 de agosto se sostuvo reunión con ADEPOR CBBA suscribiendo acta,Gerónimo Choque Callata,Se sostuvo reunión en fecha 27 de agosto de 2026 con ADEPOR CBBA.,
56,118,2026-09-02T04:00:00.000Z,EN PROCESO,ACTA DE REUNIÓN,En fecha 27 de agosto se sostuvo reunión con ADEPOR CBBA suscribiendo acta,Gerónimo Choque Callata,Se sostuvo reunión en fecha 27 de agosto de 2026 con ADEPOR CBBA.,
57,119,2026-09-02T04:00:00.000Z,EN PROCESO,ACTA DE REUNIÓN,En fecha 27 de agosto se sostuvo reunión con ADEPOR CBBA suscribiendo acta,Gerónimo Choque Callata,Se sostuvo reunión en fecha 27 de agosto de 2026 con ADEPOR CBBA.,
58,120,2026-09-02T04:00:00.000Z,CONCLUIDO,ACTA DE REUNIÓN,En fecha 27 de agosto se sostuvo reunión con ADEPOR CBBA suscribiendo acta,Gerónimo Choque Callata,Se sostuvo reunión en fecha 27 de agosto de 2026 con ADEPOR CBBA.,
59,121,2026-09-02T04:00:00.000Z,EN PROCESO,ACTA DE REUNIÓN,En fecha 27 de agosto se sostuvo reunión con ADEPOR CBBA suscribiendo acta,Gerónimo Choque Callata,Se sostuvo reunión en fecha 27 de agosto de 2026 con ADEPOR CBBA.,
60,122,2026-08-20T04:00:00.000Z,EN PROCESO,ACTA DE REUNIÓN,"En Curso, se cuenta con proyecto de Decreto Supremo y Reglamentación en revisión",Everth Baltazar - Dandy Mallea,Se viene revisando el proyecto de Decreto Supremo y Reglamento,Se asumió el compromiso de la aprobación del Programa de Fortalecimiento al sector panificador.
61,123,2026-09-02T04:00:00.000Z,EN PROCESO,ACTA DE REUNIÓN,En fecha 14 de agosto se sostuvo reunión con los panificadores independientes,Elizabeth Galarza,Se autorizó el inicio del CONECTA PAN para el 09 de septiembre en la ciudad de La Paz,
62,124,2026-09-02T04:00:00.000Z,EN PROCESO,ACTA DE REUNIÓN,En fecha 30 de junio de 2026 se sostuvo reunión,Dandy Mallea,"Se realizó una feria del PAN 8, 9 y 10 julio de 2026",
63,125,2026-08-20T04:00:00.000Z,CONCLUIDO,INFORMACIÓN REPORTADA POR LA  DIRECCIÓN GENERAL DE RIEGO,ELIAS TRIGO,ELIAS TRIGO 72852259,"LAS JUNTAS VECINALES DE LURIBAY NO SE APERSONARON A LAS OFICINAS DEL VICEMINISTERIO DE RECURSOS HÍDRICOS, RIEGO, AGUA POTABLE Y SANEAMIENTO BÁSICO. SIN EMBARGO, CON EL PROGRAMA ""GESTIÓN RESILIENTE DEL AGUA PARA RIEGO COMUNITARIO Y FAMILIAR"", SE PRIORIZÓ EL ITCP ""AMPLIACIÓN SISTEMA DE RIEGO AZAMBO"", QUE BENEFICIA A 87 FAMILIAS Y 50,2 HA DE RIEGO. LA LICITACIÓN PÚBLICA DE ESTE ESTUDIO INICIARÁ APROXIMADAMENTE EN SEPTIEMBRE.
EN FECHA 20 DE JULIO SE TUVO REUNIÓN PARA INFORMAR SOBRE LA SITUACIÓN ACTUAL DEL PROYECTO WALLATANI CHULLUNI DEL MUNICIPIO ACHACACHI DE LA PROVINCIA OMASUYOS LA MISMA REQUIERE COMPLEMENTACIONES Y ACTUALIZACIÓN. (ACTA DE REUNIÓN).",
64,126,2026-08-20T04:00:00.000Z,CONCLUIDO,ACTA DE REUNION E ITCP,ACTA DE REUNION E ITCP,VER ACTA ED REUNION,"SE HA PRIORIZADO LA ELABORACION DE EDTP CONSTRUCCIÓN DE SISTEMA DE RIEGO ASOCIACIÓN DE REGANTES DE WILA WARANKHA “ARWA” (GAM AYO AYO).

SE SOSTUVO UNA REUNIÓN EN FECHA 30/06/2026 EN INSTALACIONES DEL VICEMINISTERIO DE RECURSOS HÍDRICOS, RIEGO, AGUA POTABLE Y SANEAMIENTO BÁSICO CON AUTORIDADES DEL MUNICIPIO DE SICA SICA, EN LA CUAL SE LES EXPLICO LA SITUACIÓN ACTUAL DE LOS 6 ITCP´s (LARICAYA, SANTA ROSA, VILUYO GRANDE, LAMPAYA, COLLPA PUCHO Y CALA CALA)

ASIMISMO, SE SOSTUVO OTRA REUNIÓN EN FECHA 01/07/2026  EN INSTALACIONES DEL VICEMINISTERIO DE RECURSOS HÍDRICOS, RIEGO, AGUA POTABLE Y SANEAMIENTO BÁSICO CON AUTORIDADES DEL MUNICIPIO DE SICA SICA, TUPAC KATARI, EN LA CUAL SE LES SOCIALIZÓ EL PROGRAMA ""GESTIÓN RESILIENTE"" EL CUAL SE ENCUENTRA VIGENTE. EN FECHA 16 DE JUNIO SE SOSTUVO UNA REUNIÓN CON LA ALCALDESA DE CALAMARCA Y EL PERSONAL DEL VRHRAPYSB, EN LA CUAL SE INFORMÓ QUE EL 2023 SE DEVOLVIÓ 2 EDTP AL MUNICIPIO CON OBSERVACIONES.
TAMBIÉN INDICARON QUE REMITIERON UNA NOTA DE SOLICITUD DE FINANCIAMIENTO PARA EL PROYECTO ""CONST. IMPLEMENTACIÓN SIST DE AGUA POTABLE SUBCENTRAL CHOCOROSI CHOCOROSI - SAN PEDRO - CHOCOROSI ALTO CHOCOROSI"" MUNICIPIO CALAMARCA. RESPECTO AL GAM DE SAN PEDRO DE COLLANA SE ENCUENTRA EN ETAPA DE EJECUCION DEL PROYECTO ""IMPLEMENTACION DE LA GESTION INTEGRAL DE RESIDUOS SOLIDOS EN EL MUNICIPIO DE COLLANA"" A TRAVES DEL PROGRAMA DE SANEAMIENTO DEL LAGO TITICACA - PSLT.(AVANCE FISICO 36,7%)",ADJUNTA ACTAS E ITCP
65,127,2026-08-20T04:00:00.000Z,EN PROCESO,VDADI-DIRECCION DE PRODUCCION PECUARIA ACUICULTURA Y PESA,ACTA DE REUNON DE COORDINACION Y COMPROMISOS DE FECHA 21 DE JULIO DE 2026,DIRECTOR GRRAL DE VJIOCCMSSC-VDADI,EL PROGRAMA MI PUENTE ESTA EN PROCESO DE GESTION DE FINANCIAMIENTO Y SU POSTERIOR LOAYZA,CON RESPECTO AL PROGRAMA MI PUENTE LOS GAMS DEBEN PRESENTAR LOS EDTP 
67,128,2026-07-10T04:00:00.000Z,EN PROCESO,VDADI-DIRECCION DE PRODUCCION PECUARIA ACUICULTURA Y PESA,"5 GAMS DE LA PROV. LARECAJA, VICEMINISTERIO DE DEFENSA CIVIL, VICEMIMNISTRO DE JUSTICIA, VICEMINISTRO DE EDUCACION, MINISTERIO DE SALUD, MDPRyA, UPRE,FPS e YPFB","EUSTAQUIO HUAYTA POMA-ALCALDE DE SORATA,- ING. LUCIO LIPA CEL 75165998",CON SEGUIMIENTO AL PROCESO DE GESTION DE CUMPLIMIENTO,LAS GESTIONES DE COMPROMISOS SE ENCUENTRAN EN PROCESO
68,130,2026-05-28T04:00:00.000Z,CONCLUIDO,VDADI-ING. LUCIO LIPA,ACTA DE REUNON DE FECHA 28 DE MAYO DE 2026 DEBIDAMENTE FIRMADA,"ROGER CHUQUIMIA(74093998 ALCALDE PUERTO ACOSTA)- WALTER NINA (67013670 ALCALDE DE CARABUCO,)",SE REALIZARA EL SEGUIMIENTO DE LA SOLICITUD REALIZADA EN CUANTO SE ENCUENTREN VIGENTES LOS PROGRAMAS DE RIEGO Y POZO,SE REALIZO LA REUNION Y LA FIRMA DEL ACTA SIN PREVIA SOLICITUD DE AUDIENCIA. 
69,131,2026-05-15T04:00:00.000Z,CONCLUIDO,"VDADI-VICEMINISTRO KAREL RIVERO, LIC. ALEMAN Y MARIA BELEN PERALTA",ACTA DE REUNION DE FECHA 15 DE MAYO DE 2026,ELVIS TACACHIRI #CEL 76444411 (FEDERACION CARRASCO)-LIC. ALEMAN # 76210635 (VDADI-OORDINADOR GRAL),CCCC,CCCCC
70,132,2026-05-12T04:00:00.000Z,CONCLUIDO,"VDADI-VICEMINISTRO KAREL RIVERO, LIC. ALEMAN Y MARIA BELEN PERALTA",ACTA DE REUNION DE FECHA 12 DE MAYO DE 2026,"HUGO ORTIZ # 63173555, ARMIN LLUTA "" 68135551, VICEMINISTRO KAREL RODRIGUEZ  # 70156110",SE REALIZO EL ANALISIS DEL ESTADO DE COFECAY,POR LA IMPORTANCIA DEL SECTOR SOCIAL SE PRIORIZO LA ATENCION A ESTE REQUERIIENTO A HRS 20:45
71,133,2026-05-12T04:00:00.000Z,CONCLUIDO,"VDADI-VICEMINISTRO KAREL RIVERO, LIC. ALEMAN Y MARIA BELEN PERALTA",ACTA DE REUNION DE FECHA 12 DE MAYO DE 2026 ,"EUTASQUIO HUAYTA # 71959040, KAREL RODRIGUEZ VICEMINISTRO VDADI  # 70156110",SE ACORDO LA REUNION TECNICA PARA EL ANALISIS DE LOS PROYECTOS ,"DEBIDO A LO DELICADO DE LA SITUACIO COYUNTURAL NO SE ESCATIMO EN EL HORARIO PARA LA ATENCION DE ESTAS REUNIONES, EN ESTA CASO LAS 19:30"
72,134,2026-05-12T04:00:00.000Z,CONCLUIDO,"VDADI-VICEMINISTRO KAREL RIVERO, VICEMINISTRA VIVIANA MARISCAL VRHRAPySB",ACTA DE REUNION DE FECHA 12 DE MAYO DE 2026,"NELSON MAMANI (ALCALDE GAM JESUS DE MACHACA # 68135612), KAREL RIVERO (VDADI # 70156110), VIVIANA MARISCAL (VRHRAPySB # 68770703",SE REALIZARA UNA CAPACITACION Y SE INFORMARA DE LOS PROGRAMAS Y PROYECTOS EN EJECUCION Y LOS QUE ESTAN EN ELABORACION,EL REQUERIMIENTO FUE ATENDIDO SIN NOTA DE SOLICITUD
73,135,2026-05-11T04:00:00.000Z,CONCLUIDO,"VDADI-VICEMINISTRO KAREL RIVERO, LIC. ALEMAN Y MARIA BELEN PERALTA",ACTA DE REUNION EN DESPACHO MINISTERIAL  DE FECHA 11 DE MAYO DE 2026,"JESUS CHUCAMANI # 74017906, JOAQUIN BENITO MAMANI # 64109415, KAREL RIVERO #70156110",SE RESPONDIO A LA SOLICITUD DEREUNION DE COORDINACION EN EL MISMO DIA ,NINGUNA 
74,136,2026-05-11T04:00:00.000Z,CONCLUIDO,"VDADI-VICEMINISTRO KAREL RIVERO, FONADIN, JEFE DE GABINETE DEL MINISTERIO DR. VICTOR HUGO AÑEZ . ALTA",ACTA DE REUNION EN DESPACHO MINISTERIAL ,"CARLOS TANCARA (# CEL 68175147)- VICEMINISTRO KAREL RIVERO ("" 70156110), DR. VICTOR HUGO AÑEZ (#77702470). ",EL REQUERIMIENTO FUE ATENDIDO EN EL DIA ANTE LA PRESENCIA DEL EJECUTIVO Y SU COMITIVA ,SIN OBSERVACION 
75,137,2026-05-07T04:00:00.000Z,CONCLUIDO,VDADI-SENASAG-INIAF-IPDSA,ACTA DE REUNION,HERBERT QUISPE (#72958500)- VDADI VICEMINISTRO KAREL RIVERO (#70156110),SE PROPORCIONO LA INFORMACION REQUERIDA POR LA FEDERACION,NINGUNA 
76,138,2026-05-06T04:00:00.000Z,CONCLUIDO,"VDADI-VICEMINISTRO KAREL RIVERO, VICEMINISTRA VIVIANA MARISCAL VRHRAPySB",ACTA DE REUNION VDADI DE FECHA 06 DE MAYO DE 2026,"WILSON LISMO (#72052864)- VDADI (VICEMINISRO KAREL RIVERO (""70156110)","SE BRINDO INFORMACION REQUERIDA DANDO A CONOCER LOS PROGRAMAS Y PROYECTOS EJECUTADOS, EN EJECUCION Y LOS PROGRAMADOS ","NO TIENE SOLICITUD DE AUDIENCIA, LA REUNION SE LLEVO A CABO EN DESPACHO DEL VICEMINISTRO"
77,139,2026-05-05T04:00:00.000Z,CONCLUIDO,VDADI-DIRECCION DE PRODUCCION PECUARIA ACUICULTURA Y PESA,ACTA DE REUNION FIRMADA EN FECHA 05 DE MAYO ,"MARIO CONDORI (#74099689)- VDADI KAREL RIVERO (#70111556), DIRECTOR GENERAL DE LA COCA  ROGER TINTAYA (#67156854)",SE OFRECE LA GENERACIO NDE MESAS TECNICAS PARA ELABORAR PROPUESTAS EN BASE A SUS NECESIDADES ,LA SOLICITUD FUE ATENDIDA SIN NECESIDAD DE AGENDAMIENTO 
78,140,2026-07-02T04:00:00.000Z,CONCLUIDO,VDADI,ACTA DE REUNON VDADI,DIEGO POMA (#76512656)- ERIKA FERRUFINO (#76191103),SE CONSIDERARA LA INCLUSION A LOS PROGRAMAS DE FRUTAS DE VALLE Y EL PROGRAMA PAPA ,NINGUNA 
79,141,2026-06-19T04:00:00.000Z,CONCLUIDO,VDADI,ACTA DE REUNION DE FECHA 19 DE JUNIO DE 2026,JUSTINO KAMAKE (#63839227)- ERIKA FERRUFINO (#76191103),SE BRINDO INFORMACION SOBRE LO REQUERIDO ,LOS ACTORES PRODUCTIVOS HARAN LLEGAR SUS REQUERIMIENTOS SEGUN SU POTENCIAL PRODUCTIVO PAR AEL PROGRAMA PAR III Y EL PROGRAMA POZOS
80,142,2026-08-18T04:00:00.000Z,CONCLUIDO,VDADI,ACTA DE REUNION DE FECHA 18 DE AGOSTO DE 2026,ROGER ARIAS ORELLANA (# 76098656)- VDADI ERIKA FERRUFINO (#76191103) ,SE TOMO EN CUENTA LAS SOLICITUDES REQUERIDAS ,LA SOLICITUD FUE ATENDIDA SIN QUE EXISTA UNA NOTA DE AGENDAMIENTO PARA RESERVAR HORARIOS
81,143,2026-08-10T04:00:00.000Z,CONCLUIDO,VDADI,ACTA DE REUNON DE COORDINACION DEL 10 DE AGOSTO DE 2026,GRACIELA CUEVAS TORREZ (#78827887)- VDADI ERIKA FERRUFINO (#76191103),SE TOMO EN CUENTA LAS 2 SOLICITUDES REQUERIDAS ,NINGUNA 
82,60,2026-05-21T04:00:00.000Z,CONCLUIDO,"VDADI-VICEMINISTRO KAREL RIVERO, ING- LUCIO LIPA ",NOTA DE RESPUESTA NOTA SEGUN CITECAR/MDPRyA/VDAyDI/DGPPAP/UGMAP N°0098/2026gppap/ugmap,JAIME TICONA HURTADO (STRIO EJECUTIVO)-LUIS ROCHA FERNANDEZ (STRIO GRAL),EL PROGRAMA PARA LA PRODUCCION DE LA QUINUA SE ENCUENTRA EN PROCESO DE ELABORACION,NINGUNA
83,61,2026-05-21T04:00:00.000Z,CONCLUIDO,"VDADI-VICEMINISTRO KAREL RIVERO, ING. LUCIO LIPA",NOTA DE RESPUESTA NOTA SEGUN CITECAR/MDPRyA/VDAyDI/DGPPAP/UGMAP N°0098/2026gppap/ugmap,JAIME TICONA HURTADO (STRIO EJECUTIVO)-LUIS ROCHA FERNANDEZ (STRIO GRAL),"EL PROGRAMA SE ENCUENTRA EN PROCESO DE GESTION DE FINANCIAMIENTO MISMA QUE CONTEMPLA A LOS MUNICIPIOS PRODUCTORES DEL DPTO

VSHASByR: 
COMO DIRECCION GEENRAL DE SEGURIDAD HIDRIGA Y RIEGO A LA FECHA SE ENCUENTRAN EN EJECUCION PROYECTOS FINANCIADOS POR EL PROGRAMA PRITEC FINANCIADO CON EL BID DETALLADOS A CONTINUACION:

1.-CONST. SISTEMA DE RIEGO PRESA KASKA (CHALLAPATA) - EL PROYECTO SE ENCUENTRA EN EJECUCIÓN DESDE EL 17/07/2026 A LA FECHA SE PRESENTA UN AVANCE DE CERCANO AL 5%.

2-CONST. SISTEMA DE RIEGO CHUQUICHAMBI (SANTIAGO DE HUAYLLAMARCA) -- EL PROYCETO SE ENCUENTRA EN EJECUCIÓN DESDE EL 20/08/2026 SE PROCEDIO CON EL PAGO DEL ANTICIPO DEL 20%.

3.-CONSTRUCCIÓN SISTEMA DE RIEGO PRESA JACHUYO (SORACACHI) - EL PROYECTO SE ENCUENTRA CON ORDEN DE PROCEDER DESDE EL 19/08/2026, SE PROCEDIÓ CON EL PAGO DEL ANTICIPO DEL 25%.

ASI MISMO, SE VIENE COORDINANDO ACTIVMENTE CON DIFERENTES MUNICIPIOS PARA LA CONFORMACION DE CARTERA DE NUEVOS PROYECTOS.

EN EL MARCO DEL PROGRAMA GESTIÓN RESILIENTE, SE HAN PRIORIZADO LOS SIGUIENTES PROYECTOS, LOS CUALES SE ENCUENTRAN EN PROCESO DE GESTIÓN PARA LA SUSCRIPCIÓN DE LOS RESPECTIVOS CONVENIOS:
•MANEJO INTEGRAL DE LA MICROCUENCA DEL RÍO VENTA Y MEDIA: EN PROCESO DE GESTIÓN PARA LA SUSCRIPCIÓN DEL CONVENIO.
•MANEJO INTEGRAL DE LA MICROCUENCA KHONCHU MAYU: EN PROCESO DE GESTIÓN PARA LA SUSCRIPCIÓN DEL CONVENIO.
•MANEJO INTEGRAL DE LA MICROCUENCA DEL RÍO BERENGUELA: EN PROCESO DE GESTIÓN PARA LA SUSCRIPCIÓN DEL CONVENIO.
",NINGUNA
84,63,2026-05-21T04:00:00.000Z,CONCLUIDO,"VDADI-VICEMINISTRO KAREL RIVERO, ING. LUCIO LIPA ",NOTA DE RESPUESTA NOTA SEGUN CITECAR/MDPRyA/VDAyDI/DGPPAP/UGMAP N°0098/2026gppap/ugmap,JAIME TICONA HURTADO (STRIO EJECUTIVO)-LUIS ROCHA FERNANDEZ (STRIO GRAL),EL PROGRAMA SE ENCUENTRA EN PROCESO DE GESTION DE FINANCIAMIENTO MISMA QUE CONTEMPLA A LOS MUNICIPIOS PRODUCTORES DEL DPTO,NIINGUNA
