iddemandapunto,idprincipal,puntonro,descripcionpto,resultadopto,fechaplazo,responsabledemandante,responsabledemandado
90,239,1,1.- PROGRAMAS Y PROYECTOS PARA EL DESARROLLO PRODUCTIVO,SE INFORMO SOBRE LOS PROGRAMAS QUE SE VIENEN GESTIONANDO POR EL VDADI EN APOYO AL SECTOR PRODUCTIVO DEL PAIS,2026-05-11T18:00:00.000Z,JESUS CHUCAMANI-ALCALDE GAM PALOS BLANCOS,ING. LUCIO LIPA 
91,239,2,AGENDA DE REUNION CON AUTORIDADES DEL VDADI,LOS ALCALDES SOLICITAN REUNION PARA EL 15 DE JUNIO A HRS 10:00,2026-06-10T14:01:00.000Z,JESUS CHUCAMANI-ALCALDE GAM PALOS BLANCOS,ING. LUCIO LIPA 
92,240,1,SOLICITAN INFORMACION DE LOS PROGRAMAS Y PROYECTOS PRODUCTIVOS,EL VDADI INFORMO SOBRE FORMULACION DE PROGRAMAS PRODUCTIVOS,2026-05-19T20:30:00.000Z,ELIAS APAZA MAMANI-EJECUTIVO DE CENTRAL AGRARIA,ING. LUCIO LIPA 
93,240,2,COORDINACION SOBRE PROYECTOS ,SE INFORMO SOBRE PROGRAMAS  Y PROYECTOS ,2026-05-19T20:30:00.000Z,ELIAS APAZA MAMANI-EJECUTIVO DE CENTRAL AGRARIA,ING. LUCIO LIPA 
94,241,1,EN ESTA REUNION SE INFORMO A LOS 5 MUNICIPIOS DE LOS PROGRAMAS Y PROYECTOS VIGENTES Y EN GESTION DE FINANCIAMIENTO,SE CUMPLIO CON EL REQUERIMIENTO DE INFORMACION DE LOS 5 MUNICIPIOS,2026-05-19T20:00:00.000Z,5 MUNICIPIOS DE PROVINCIA CAMACHO,VIC. KAREL RIVERO - ING. LUCIO LIPA
95,242,1,"COORDINACION E INFORMACION DE PROGRAMAS Y PROYECTOS PRODUCTIVOS, REALIZAR LA SOCIALIZACION EN SAN MIGUEL DE HUACHI, INFORMACION DEL PROGRAMA DE FRUTOS AMAZONICOS Y VALLE, INFORMACION DEL CREDITO BDP PRODUCCION DE AVES DE POSTURA Y PARRILLERO",SE RESPONDIO POR ESCRITO INDICANDO QUE DEBIDO A LA SITUACION SOCIAL LA FECHA DE REUNION EN EL LUGAR SE REPROGRAMARA ,2026-09-04T14:46:00.000Z,RUBEN DAVID ESCOBAR-STRIO GRAL DE LA FEDERACION SAN MIGUEL DE HUACHI,LIC. RONALD ALEMAN
96,243,1,"EL GAM DE PUCARANI SOLICITO INFORMACION DEL PROGRAMA POZOS, PRORESILIENCIA CAMELIDOS Y FIDEICOMISO FIREGAPO","SE INFORMO RESPECTO DE  LA FORMULACION DE CADA PROGRAMA LOS ALCANCES TECNICOS, ECONOMICOS Y PRESUPUESTARIOS",2026-07-03T18:00:00.000Z,ALCALDE MUNICIPAL,ING. LUCIO LIPA 
97,245,1,PROSAN REQUIERE CONVENIO DE COMERCIALIZACION DE PAPA DE CONSUMO Y SEMILLA,"SE ACORDO QUE:
OFERTAN 4000 QQ PAPA DE CONSUMO, TAMAÑOS 1RA, 2DA Y 3RA.
OFERTA DE 2000 QQ DE SEMILLA DE PAPA CERTIFICADA VARIEDAD WAYCHA.
",2026-06-29T16:19:00.000Z,ASCENSIO CHINO BAUTISTA-RPTE LEGAL PROSAN,ING. LUCIO LIPA 
98,246,1,EL GAM DE PUERTO PEREZ SOLICITA INFORMACION DE PROGRAMAS Y PROYECTOS QUE VIENEN SIENDO DESARROLLADOS POR EL VDADI,EL VDADI REMITIRA LA BASE DE DATOS DE PROYECTOS PRODUCTIVOS HASTA EL DIA 23 DE JUNIO DE 2026 ,2026-06-12T16:10:00.000Z,LUCIO SUXO QUISPE - ALCALDE MUNICIPAL,VDADI-DIRECCION DE PRODUCCION PECUARIA ACUICULTURA Y PESCA
99,247,1,EL GAM ICHOCA SOLICITO INFORMACION DE PROGRAMAS Y PROYECTOS DE DESARROLLO PRODUCTIVO,SE HA INFORMADO A LA PETICION VERBAL DE INFORMACION Y ASI MISMO SE ACORDO CON LOS TECNICOS DEL MUNICIPIO PARA UNA PROXIMA REUNION CON LA PARTICIPACION DEL ALCALDE Y CONCEJALES,2026-06-12T17:55:00.000Z,ALEX MAMANI C - TECNICO GAM ICHOCA,VDADI-ING. LUCIO LIPA
100,248,1,"LAS AUTORIDADES DEL MUNICIPIO DE BATALLAS SOLICITARON LA INCLUSION A LOS PROGRAMAS DE POZOS, PROGRAMA DE FORTALECIMIENTO LECHERO, PARTICIPAR EL LA LEY MI BOLIVIA LECHERA, PARTICIPACION EN EL PROGRAMA MI PUENTE CON EMPODERA-PAR  ",SE INFORMO DE FORMA DETALLADA A LA PETICION REALIZADA,2026-07-03T16:16:00.000Z,ALVARO PATTY MERCADO - ALCALDE MUNICIPAL,VDADI-ING. LUCIO LIPA
101,249,1,"LA ORGANIZACION PROPUSO LA OFERTA DE SEMILLA DE PAPA DE 25.000 QQ ; VARIEDADES DE WAYCHA, IMILLA NEGRA, PAPA MARCELA Y JATUNPUCA; CATEGORIAS: BASICA III REGISTRADA, I y II, Y CERTIFICADA ",SE DIO RESPUESTA EN EL SENTIDO DE QUE EL VDADI A LA FECHA NO CUENTA CON PROGRAMAS VIGENTES NI PRESUPUESTO ASIGNADO PARA ESTABLECER ESTOS CONVENIOS,2026-07-08T19:30:00.000Z,GONZALO APAZA APAZA- EJECUTIVO DE CENTRAL AGRARIA MURUMAMANI,VDADI-DIRECCION DE PRODUCCION PECUARIA ACUICULTURA Y PESCA
102,250,1,SOLICITUD DE APOYO EN PRODUCCION DE FORRAJE Y AGUA PARA LA PRODUCCION DE LECHE,"SE INFORMO SOBRE EL PROGRAMA DE POZOS, PROGRAMA DE GANADO BOVINO LECHERO, LOS CUALES SE ENCUENTRAN EN PROCESO DE GESTION POR EL VDADI",2026-07-23T18:45:00.000Z,MAXIMO RAMOS-PRESIDENTE DE REGANTES,VDADI-DIRECCION DE PRODUCCION PECUARIA ACUICULTURA Y PESCA
103,251,1,"EL GAM CALACOTO SOLICITO CON NOTA AL SR MINISTRO EN LA CUAL SE REALIZO LA SOCIALIZACION DEL PROGRAMA PISCICOLA NACIONAL, PROGRAMA CAMELIDOS DONDE SE EXPLICO QUE ESTAN EN FORMULACION Y BUSQUEDA DE FINANCIAMIENTO ",SE ATENDIO LA SOLICITUD,2026-07-20T18:50:00.000Z,HECTOR QUISPE CUSI- ALCALDE,VDADI-DIRECCION DE PRODUCCION PECUARIA ACUICULTURA Y PESCA
104,252,1,"EL GAM DE CAIROMA SOLICITA INFORMACION DE PROGRAMAS Y PROYECTOS, DONDE ANTERIORMENTE SE BENEFICIO CON PROGRAMA DE TUBERCULOS Y RAICES FUE BENEFICIADA CON INFRAESTRUCTURA PRODUCTIVA- COMO CONCLUYO EL PROGRAMA YA NO SE PUEDE REALIZAR EL EQUIPAMIENTO","SE INFORMO QUE LA REGION DEL MUNICIPIO YA SE BENEFICIO CON INFRAESTRUCTURA PRODUCTIVA, PARA BENEFICIARSE CON EL EQUIPAMIENTO ES NECESARIO ESPERAR EL NUEVO PROGRAMA DE PAPA",2026-08-21T19:30:00.000Z,GOBIERNO AUTONOMO MUNICIPAL DE CAIROMA,VDADI-ING. LUCIO LIPA
105,253,1,REQUERIMIENTO DE INFORMACION SOBRE PROYECTOS PRODUCTIVOS PARA DESARROLLO AGROPECUARIO,"SE INFORMO SOBRE PROGRAMAS Y PROYECTOS AGROPECUARIOS CONFORME A GESTION DE FORMULACION DE PROGRAMA POZOS, CAMELIDOS, CUYS, PAPA Y GANADERIA",2026-07-21T19:30:00.000Z,VICTOR VILLAREAL MAYTA-ALCALDE,VDADI-ING. LUCIO LIPA
106,254,1,"SOLICITAN INFORMACION DE:
ADQUISICION DE MAQUINARIA AGRICOLA, APOYO CON SEMILLA DE PAPA, SOCIALIZACION DE PROGRAMAS EN FORMULACION Y FIDEICOMISO FIREGAPO:

- Criadero de cuyes
- Crianza de gallinas
- Producción porcina
- Producción piscicola (pescado

","LAS AUTORIDADES DE LA SUBALCALDIA REMITIRAN INFORME DE REGISTRO DE PRODUCTORES- EL VDADI EN COORDINACION CON LAS AUTORIDADES LOCALES ARTICULARA CON SEMILLEROS DE PAPA Y HABA, EL VDADI REMITIRA REQUISITOS DE DEL FIREGAPO DEL RUNSA AL SUBALCALDE DE MARKA HAMPATURI ",2026-07-20T13:30:00.000Z,MARKA HAMPATURI LA CUMBRE,VDADI-ING. LUCIO LIPA
107,255,1,INFORMACION PERTINENTE SOBRE PROGRAMAS PRODUCTIVOS Y APOYO EN CAPACITACION TECNICA,"EL VDADI INFORMO SOBRE PROGRAMAS PRODUCTIVOS QUE VIENEN FORMULANDO Y GESTIONANDO EL FINANCIAMIENTO, ASI MISMO SE COORDINARA TALLERES Y CURSOS DE CAPACITACION EN TEMAS AGROPECUARIOS Y EMPRENDIMIENTOS DE GENERO, EL VDADI ARTICULARA EN FERIAS Y COMITES DE AGRICULTURA FAMILIAR",2026-08-17T18:00:00.000Z,ROSARIO LUNA BUTRON-PDTA COCIPOBOL LA PAZ,VDADI-DIRECCION DE PRODUCCION PECUARIA ACUICULTURA Y PESCA
108,256,1,"INFORMACION DE PROYECTOS DEL PROGRAMA POZOS, FORRAJES, SEMILLAS, PAR III","EL VDADI INFORMO SOBRE LOS PROGRAMAS QUE VIENE FORMULANDO PARA EL DESARROLLO AGROPECUARIO Y LOS ALCANCES DE COBERTURA, ASI MISMO LAS AUTORIDADES EN COORDINACION CON EL GAM DE SICA SICA SOLICITARAN PROYECTOS EN FUNCIONA A SUS NECESIDADES ",2026-08-18T15:00:00.000Z,JORGE ARGANA CALLE-EJECUTIVO SUBCENTRAL AGRARIA ,VDADI-ING. LUCIO LIPA
109,257,1,SOLICITUD DE INFORMACION DEL PROGRAMA DE CAMELIDOS,EL GAM TARVITA ENVIARA INFORMACION TECNICA PARA INCLUIR EN LOS PROGRAMAS EN GESTION ,2026-07-14T15:52:00.000Z,RENE BENEGAS - STRIO DE DESARROLLO PRODUCTIVO GAM TARVITA,VDADI-RILMAR LEON GUTIERREZ
110,258,1,SOLICITAN ORGANIZACION DE LA XVI FERIA NACIONAL DE CAMELIDOS SEDE POTOSI,"EL VDADI BRINDARA APOYO LOGISTICO PARA LA FERIA, ",2026-08-12T14:45:00.000Z,RENE JOAQUINO CABRERA-GOBERNADOR DE POTOSI,VDADI-RILMAR LEON GUTIERREZ
111,259,1,SOLICITAN LA CONSTRUCCION DE POZOS Y PROGRAMAS PRODUCTIVOS ,"SE SOCIALIZO LOS ALCANCES DEL PROGRAMA DE APROVECHAMIENTO DE AGUAS SUBTERRANEAS, POR OTRO LADO LOS PROGRAMAS QUE VIENEN FORMULANDO EL VDADI",2026-08-12T15:30:00.000Z,DIONI ACHACOLLO VELASQUEZ-ALCALDE,VDADI-RILMAR LEON GUTIERREZ
112,194,1,"DEMANDA/COB-Central Obrera Boliviana Demanda a VRHRHAPYSB por
FINANCIAMIENTO PARA CONSTRUCCION DEL PROYECTO DE RIEGO TECNIFICADO PARCELARIO PATAMANTA",,2027-01-01T03:59:00.000Z,COB-Central Obrera Boliviana,VRHRHAPYSB
113,261,1,Fortalecer la lucha contra el Contrabando a la inversa,"Cumplido, el CEOLCC realizó la instrucción de que no se permita el traslado de ganado en pie en los 50 km de la frontera, así como se ha fortalecido le lucha contra el contrabando
El VLCC realizó gestiones ante el Viceministerio de Justicia Indígena… para que se efectivice la coordinación con los GAM que correspondan, previa solicitud formal de la CONTRACABOL que incluya información de ferial.

El VLCC otorgó a la CONTRACABOL un contacto para que se realicen denuncias de posibles casos de contrabando.",,CONTRACABOL,CEOLCC - VLCC - VCLI
114,261,2,Fortalecer la lucha contra el Contrabando a la inversa,"Está en curso la atención de la DGDDUC que se pondrá en contacto con la Autoridades de Patacamaya, SENASAG e instituciones que correspondan, para la realización de verificativos conjuntos, información que será transmitida al CEOLCC para fines consiguientes",2026-09-30T04:00:00.000Z,CONTRACABOL,VCLI-SENASAG-CEOLCC
115,261,3,Contar con información de precios coordinados con la CONTRACABOL,"Cumplido, en fecha 18 de agosto se realizó el relevamiento de información.",2026-08-17T04:00:00.000Z,CONTRACABOL,OAP
116,261,4,Solicitan Información de guías de movimiento a puntos fronterizos,"El SENASAG  remitió información de las guías de movimiento al VCLIyDUC, asimismo, ya se remitió respuesta a la CONTRACABOL",2026-08-28T04:00:00.000Z,CONTRACABOL,SENASAG
117,264,1,"Abordar el abastecimiento, regulación y monitoreo de precios, las sanciones por agio en fletes y el abastecimiento de alimentos estratégicos como el maíz.

Control y monitoreo estricto de precios en el mercado interno para evitar agio en el transporte y en insumos estratégicos",Remitir solicitud de ADEPOR a la ATT debido a que no se tiene competencia para sancionar por agio en fletes,2026-09-13T04:00:00.000Z,ADEPOR CBBA,VCLI
118,264,2,"Facilitar políticas de acceso de materia prima e insumos a precios justos

Implementación de programas de facilitación de acceso a materia prima e insumos.","EMAPA facilitará información para acordar ventas de harina solvente y afrecho.
INBOL facilitará información para la venta de maíz amarillo duro 
",2026-09-13T04:00:00.000Z,ADEPOR CBBA,EMAPA - INSUMOS BOLIVIA
119,264,3,Gestionar el acceso a créditos e instrumentos financieros estatales con condiciones blandas para la reposición del capital de operaciones,"El VDADI coordinó con el BDP la vigencia de un FIDEICOMISO para el sector porcícola, en tal sentido, el VDADI convocará a reunión al BDP. ",2026-09-20T04:00:00.000Z,ADEPOR CBBA,VDADI
120,264,4,"Gestionar la promoción de políticas y programas para lograr el control, así como la certificación para garantizar la sanidad agropecuaria y la inocuidad alimentaria",El VDADI puso en conocimiento que se elaboró el Programa Nacional de Producción Porcina Sostenible que está en la fase de aprobación,2026-08-27T04:00:00.000Z,ADEPOR CBBA,VDADI
121,264,5,El SENASAG actúe con un rol de apoyo técnico y alivio financiero. Fortalecer la soberanía alimentaria y eliminar obstáculos burocráticos que dificulte la renovación de nuevos registros sanitarios a los productores,El SENASAG revisará la solicitud de ADEPOR con relación a las granjas que no cuentan con registro sanitario.,2026-09-30T04:00:00.000Z,ADEPOR CBBA,SENASAG
122,265,1,Implementación de un precio preferencial para la compra de harina. Existe un posible conflicto que podría desencadenar en la subida del precio del pan de batalla en el occidente del país,Se identificó la posibilidad de realizar entregas directas de harina mediante los cupos disponibles en EMAPA,,CONAPABOL,EMAPA
123,265,2,"Garantizar la provisión continua de harina y levadura y la gestión de mecanismos extraordinarios de abastecimiento, incluyendo vuelos solidarios. ",Fortalecer la logística de distribución,2026-11-30T04:00:00.000Z,CONAPABOL - PANIFICADORES INDEPENDIENTES,VCLI
124,265,3,"Garantizar la provisión continua de harina y levadura y la gestión de mecanismos extraordinarios de abastecimiento, incluyendo vuelos solidarios. ",Desarrollar ferias productivas que contribuyan al apoyo y fortalecimiento del sector panificador nacional.,2026-10-02T04:00:00.000Z,CONAPABOL,VCLI
125,231,82,APOYO AL RIEGO DEL MUNICIPIO DE LURIBAY ZONA PRODUCTIVA DE VINO Y SINGANI,,2027-01-01T03:59:00.000Z,"FEDERACION DE JUNTAS VECINALES DE VIACHA; DISTRITO 1,4,5,6,7 CIUDAD DE EL ALTO; FEDERACION DE JUNTAS VECINALES DEL  MUNICIPIO SICA SICA; PROVINCIA MURILLO; PROVINCIA PALCA; PROVINCIA OMASUYOS; GOBIERNO AUTONOMO MUNICIPAL DE SANTIAGO DE HUATA; GOBIERNO AUTONOMO MUNICIPAL DE LURIBAY; PROVINCIA AROMA; PROVINCIA CAMACHO",VRHRAPYSB
127,266,1,"CONSTRUCCION DE TINGLADOS Y AULAS EDUCATIVAS, CONSTRUCCION DE CENTROS DE SALUD CON INTERVENCION EN LOS 5 MUNICIPIOS, CONSTRUCCION DE RESERVORIOS DE AGUA PARA RIEGO DE GOTEO,  CONSTRUCCION DE PERFORACION DE POZO PARA CAPTACION DE AGUA , CONSTRUCCION DE CENTROS DE ELABORACION DE CAMELIDO, . EQUIPAMIENTO A LOS CENTROS DE SALUD CON AMBULANCIAS Y EQUIPOS DE EMERGENCIA,  EQUIPAMIENTO A LA EDUCACION CON EQUIPOS DEL AREA TECNICO HUMANISTICO, . CONSTRUCCION DE CARRETERAS ASFALTADAS EN LOS 5 MUNICIPIOS,  CONSTRUCCION DE PUENTES DE INTEGRACION EN LOS 5 MUNICPIOS,  CONSTRUCCION EQUIPAMIENTO DE PRODUCTOS AGRICOLAS. ","EL Ministerio de Educacion designara 3 items de nuevo creacion, tamabien entregara 3 antenas atarlink por municipio.
Viceministerio de Vivienda informo sobre programa de AEVIVIENDA donde se evaluara la viabilidad de los proyectos de cada municipio.
UPRE dara continuidad a los proyectos de la anterior gestion. 
FPS informo sobre el programaBOL38 donde se informo de asignacion de 3 millones de bs para proyectos de enlosetado por municipio.
Viceministerio de salud, se acordo en el equipamiento de 1 centro de salud por municipio-entrega hasta el mes de agosto, entrega de 3 items de salud por municipio con previa evaluacion. 
EL Viceministerio de recursos hidricos,solicito a los 5 municipios la actualizacion de sus proyectos, apoyo tecnico en EDTP para proyectos de riego menor a 60 has.
EMPODERAR. detallo proyectos en ejecucion en la Prov. Loayza, 36 alianzas productivas vigentes a concluir hasta finales del 2026.
EL VDADI -PROGRAMA MI PUENTE financiado por la CAF otorgara recursos para puentes vehiculares de competencia municipal, los GAMS deben preparar los EDTPS.
VDADI - PROGRAMA ACCESO RURAL, cartera vigente para financiamiento de proyectos agricolas e infraestructura productiva con enfoque de  cambio climatico.  ",2026-10-21T18:02:00.000Z,"5 MUNICIPIOS DE PROVINCIA LOAYZA- FDUTCLP - TUPAC KATARI, CMICIOLP BARTOLINA SISA , CENTRALES Y SUBCENTRALESANISTICO 8. CONSTRUCCION DE CARRETERAS ASFALTADAS EN LOS 5 MUNICIPIOS 9. CONSTRUCCION DKE PUENTES DE INTEGRACION EN LOS 5 MUNICPIOS 10. CONSTRUCCION EQUIPAMIENTO DE PRODUCTOS AGRICOLAS EN LA PROV. LOAYZA","5 MUNICIPIOS DE PROVINCIA LOAYZA- FDUTCLP - TUPAC KATARI, CMICIOLP BARTOLINA SISA , CENTRALES Y SUBCENTRALES CONSTRUCCION DE TINGLADOS Y AULAS EDUCATIVAS- 2 CONSTRUCCION DE CENTROS DE SALUD CON INTERVENCION EN LOS 5 MUNICIPIOS 3. CONSTRUCCION DE RESERVORIOS DE AGUA PARA RIEGO DE GOTEO 4. CONSTRUCCION DE PERFORACION DE POZO PARA CAPTACION DE AGUA 5. CONSTRUCCION DE CENTROS DE ELABORACION DE CAMELIDO 6. EQUIPAMIENTO A LOS CENTROS DE SALUD CON AMBULANCIAS Y EQUIPOS DE EMERGENCIA 7. EQUIPAMIENTO A LA EDUCACION CON EQUIPOS DEL AREA TECNICO HUMANISTICO 8. CONSTRUCCION DE CARRETERAS ASFALTADAS EN LOS 5 MUNICIPIOS 9. CONSTRMINISTERIO DE EDUCACION, VICEMINISTERIO DE JUSTICIA, VICEMINISTERIO DE SALUD, VICEMINISTRIO DE RECURSOS HIDRIICOS , VICEMNISTERIO DE DESARROLLO AGROPECUARIO E INTEGRAL, DIRECCION GRAL DE VIVIENDA, ABC, y UPRE"
128,267,1,"1.- REQUERIMIOENTO DE UN PLANTA BENEFICIADORA DE CAFE PARA EL MUNICIPIO DE TEOPONTE.
2.- HABILITACION Y MEJORAMIENTO DE LA PISTA DE ATERRIZAJES.
3.- ASFALTADO DEL TRAMO CARRETERIO CARANAVI-GUANAY
4.- CAMBIO FUNDAMENTAL DE LA VIA EN LOS  TRAMOS MAPIRI-SORATA.
5.-INSTALACION DE INTERNET SATELITAL STARLINK A UNIDADES EDUCTIVAS.
6.- IMPLEMENTACION DE ESTACIONES MOVILES DE SERVICIOS DE COMBUSTIBLE.
7.- ASIGNACION DE ITEMS PARA SECTORES DE SALUD Y EDUCACION .
2.- ","1.- PARA SECTOR AGROPECUARIO: SE FACILITARA UN ACERCAMIENTO DE LOS PRODUCTORES DE CAFE DE TEOPONTE CON EL PROGRAMA EMPODERAR.
2.- LA UPRE INDICO QUE EXISTEN 16 PROYECTOS EN CURSO, DONDE SE DETERMINO QUE EXISTEN OBSERVACIONES TECNICAS QUE DEBEN SER SUBSANADAS HASTA FINES DE AGOSTO DE 2026.
3.- SE CUENTA CON LA APROBACION DEL TRASPASO DEL TRAMO SORATA-QUIABAYA-TACACOMA-MAPIRI A LA RED FUNDAMENTAL..
4.- SE EVALLUARA LA VIABILIDAD DE ASFALTAR LA VIA CARANAVI.GUANAY.
5.- SE REALIZARAN GESTIONES PARA REALIZAR LA LEY 480.
6.- EL VICEMINISTERIO DE EDUCACION REGULAR SE COMPROMETIO A DOTAR E INSTALAR ANTENAS STARLINK EN LOS EDIFICIOS ESCOLARES DE CADA UNO DE LOS MUNICIPIOS INICIANDO EL PROCESO EL PROXIMO MES. 
7.- SE ACORDO UNA REUNION CON EL GERENTE DE YPFB PARA EL ABASTECIMIENTO DE COMBUSTIBLE EN LAS PROXIMAS SEMANAS",2026-10-10T04:00:00.000Z,5 GOBIERNOS MUNICIPALES DE LARECAJA,"VICEMINISTERIO DE DEFENSA CIVIL, VICEMIMNISTRO DE JUSTICIA, VICEMINISTRO DE EDUCACION, MINISTERIO DE SALUD, MDPRyA, UPRE,FPS e YPFB"
129,268,1,"LOS ALCALDES DE LOS 8 MUNICIPIOS DE LA PROV. PACAJES REQUIEREN INFORMACION DE:  
1.- VIABILIDAD DE PROYECTOS PRESENTADO EN UPRE.
 2. REQUERIMIENTO EN TEMAS DE SALUD Y EDUCACION.
3. TRAMOS CARRETEROS CARANAVI-CHOCOROSI Y EL TRAMO PATACAMAYA-NAZACARA,
 4. REQUERIMIENTO DE ALCANTARRILLADO Y AGUA POTABLE.
5. PROGRAMA EMPODERAR","SOBRE CADA PUNTO DEMANDADO SE OBTUVIERON LOS SIGUIENTES RESULTADOS: 
1.- LA UPRE DARA CONTINUIDAD DE LA GESTION PASADA REALIZANDO PROYECTOS DE PUENTES. 
2. SE EQUIPARA 1 CENTRO DE SALUD POR MUNICIPIO. EL MNISTERIO DE EDUCACION CONTINUARA CON PROYECTOS DE TINGLADOS EN COORDINACION CON FPS. DESATINARA 3 ITEMS PARA BTH Y 2 PARA EDUCACION ALTERNATIVA.  
3. ABC TRABAJARA EN 2 TRAMOS CARRETEROS CAQUIAVIRI-CHOCOROSI Y CHARAÑA BERENGUELA. EL TRAMO PATACAMAYA-NAZACARA CONFORMA EL PLAN DE EMERGENCIAS.  
4.- EL VICEMINISTERIO DE RECURSOS HIDRICOS Y AGUA SOLICITO A LOS MJNICIPIOS PRESENTAR SUS REQUERIMIENTOS DE PROYECTOS. 
5. EL PROGRAMA EMPODERAR BRINDO INFORMACION DE PROYECTOS VIGENTES E INFORMO DEL PROGRAMA MI PUENTE ",2026-10-14T04:00:00.000Z,8 MUNICIPIOS DE PROV. PACAJES- ,SSS
130,269,1,SOLICITARON LA REVISION DE PROGRAMAS Y PROYECTOS ,DE MANERA CONJUNTA ENTREA AMBOS ACTORES SE ANALIZO LOS PROYECTOS VIGENTES Y FUTUROS DEL PROGRAMA EMPODERAR (RIEGO Y POZOS PARA LOS 5 MUNICIPIOS).,2026-05-28T15:30:00.000Z,5 GOBIERNOS MUNICIPALES DE LA PROV. CAMACHO DPTO DE LAPZ- VDADI,VDADI - VICEMINISTRO KAREL RIVERO
131,270,1,"SE REQUIRIO SOCIALIZACION DE PROYECTOS EN EL CHAPARE, CHIMORE Y CARRASCO.","SE REALIZO EL ANALISIS DE LOS PROYECTOS DE CULTIVOS DE CAFE, BANANO Y PIÑA.
SE IDENTIFICO QUE FALTAN BENEFICIARIOS PARA LOS PROYECTOS KOICA (AGENCIA DE COOPERACION INTERNACION DE KOREA). ",2026-05-15T16:00:00.000Z,FEDERACION CARRASCO-VDADI,"VDADI-VICEMNISTRO KAREL RIVERO, MARIA BELEN PERALTA"
132,271,1,LA COFECAY SOLICITA UN ANALISIS DEL ESTADO DE LA ORGANIZACION.,SE REALIZO EL ANALISIS CORRESPONDIENTE ,2026-05-12T23:45:00.000Z,COFECAY- CONFEDERACION DE CAFETALEROS DE LOS YUNGAS ,"VDADI-VICEMNISTRO KAREL RIVERO,"
133,272,1,EL GAM DE SORATA SOLICITA COLABORACION PARA: EL MEJORAMIENTO DE CAMINOS Y GENERACION DE PROGRAMAS PARA MEJORAR LA PRODUCCION DE  CHIRIMOYA EN LA REGION.,DE FORMA CONCRETA SE ACORDO UNA REUNION TECNICA PARA EL ANALISIS DE LOS PROYECTOS. ,2026-05-12T23:30:00.000Z,EUSTAQUIO HUAYTA - ALCALDE MJNICIPAL DE SORATA; KAREL RIVERO VICEMINISTRO VDADI,"VDADI-VICEMNISTRO KAREL RIVERO,"
134,273,1,"EL GAM DE JESUS DE MACHACA REPRESENTADO POR SU ALCALDE REQUIERE SOLICITA CAPACITACION Y SOCIALIZACION DE LOS PROGRAMAS Y PROYECTOS, ASI MISMO REQUIEREN APOYO EN AGUA POTABLE, SANEAMIENTO BASICO SEMILLA CERTIFICADA, GANADO CAMELIDO Y VACUNO.",SE REALIZARA UNA CAPACITACION Y SE INFORMARA DE LOS PROGRAMAS Y PROYECTOS EN EJECUCION Y LOS QUE ESTAN EN ELABORACION. ,2026-05-12T22:30:00.000Z,NELSON MAMANI (ALCALDE GAM JESUS DE MACHACA)- KAREL RIVERO 8VICEMINISTRO VDADI),VDADI y VDRHRAPySB
135,274,1,LOS GAMS DE PALOS BLANCOS Y ALTO BENI REQUIEREN INFORMACION DE LOS PROYECTOS EN EJECUCION Y EJECUTADOS POR PARTE DEL VDADI,"SE HIZO CONOCER QUE EL PROYECTO RIEGO FAMILIAR ESTA EN CURSO SE PIDIO QUE PRESENTEN SUS REQUERIMIENTOS A LA MAE PARA LA ELABORACION DEL EDTP.
EN CUANTO A LOS PROYECTOS DEL FONADIN SE HIZO CONOCER QUE DEBE REALIZARSE EL ANALISIS PARA DARLE VIALIDAD EN CUANTO A LA ASIGNACION DE RECURSOS POR PARTE DEL TGN .
LA ENTIDAD EMPODERAR DEBE REMITIR UNA LISTA DE PROYECTOS Y ALIANZAS EN CURSO. ",2026-05-11T21:30:00.000Z,"JESUS CHUCAMANI-ALCALDE GAM PALOS BLANCOS, JOAQUIN BENITO MAMANI (ALCALDE GAM ALTO BENI), ","VDADI-VICEMINISTRO KAREL RIVERO, MARIA BELEN PERALTA"
136,275,1,REUNION INFORMATIVA RESPECTO DE LOS PROGRAMAS  Y PROYECTOS CONCLUIDOS Y EN EJECUCION  ,"SE HIZO CONOCER QUE LOS PROYECTO FINANCIADOS POR EL FONDO NACIONAL DE DESARROLLO INTEGRAL - FONADIN EN CURSO CON CONVENISO FIRMADOS SE ENCUENTRAN EN PROCESO DE INSCRIPCION EN EL SIGEP.
PARA LOS CASOS DE PROGRAMAS NUEVOS PALTA Y CITRICOS SE HIZO CONOCER QUE SE ESTA TRABAJANDO EN LA ELABORACION DE NUEVOS PROGRAMAS .
EN CUANTO PROGRAMA RIEGO FAMILIAR SE ENCUENTRA EN PLENA EJECUCION, Y SI TIENEN REQUERIMIENTOS DEBEN DE PRESENTAR SU ESTUDIO RESPECTIVO",2026-05-11T20:00:00.000Z,CARLOS TANCARA AQUILAR - EJECUTIVO PROVINCIAL CARANAVI ,"VDADI-VICEMINISTRO KAREL RIVERO, MARIA BELEN PERALTA"
