idactor,idprincipal,fecha,Actores,Asuntos,IntNec,Miedos,Medios,Opciones,Tipoactor,Poder
77,134,2025-05-02T04:00:00.000Z,Gobierno Autonomo Municipal de Santa Cruz,"- Insuficiente capacidad para gestionar centros de salud primaria.
- Presión vecinal por mejorar atención en zonas rurales.
","- Mantener servicios básicos en su jurisdicción.
- Evitar conflictos sociales que afecten su gestión.
","- Pérdida de legitimidad ante la ciudadanía.
- Intervención del gobierno central en su administración.
","- Alianzas con ONGs para servicios de salud.
- Reducir gastos administrativos para priorizar salud.
","- Unirse a las demandas de los gremios hacia el gobierno central.
- Implementar programas locales de emergencia.
",Demandado,40
78,135,2025-08-20T04:00:00.000Z,PDC-Partido Democrata Cristiano,"- Oposición a políticas progresistas de LIBRE, especialmente en temas económicos y sociales.
- Defensa de valores tradicionales y de la influencia religiosa en políticas públicas.
- Rechazo a cambios radicales en la estructura de gobernanza del Estado.","INTERES
- Mantener estabilidad económica neoliberal y alianzas con sectores empresariales.
- Evitar reformas que consideran ""socialistas"" (ej. redistribución de tierras o nacionalizaciones).

NECESIDAD
- Conservar apoyo electoral en sectores urbanos, clase media y comunidades religiosas.
- Frenar avances de políticas secularizadoras o progresistas.","- Pérdida de poder político ante el crecimiento de LIBRE.
- Radicalización de políticas que afecten intereses económicos de sus bases.","- Alianzas con partidos conservadores y empresarios.
- Campañas mediáticas contra LIBRE.
- Impugnaciones legales o uso de mecanismos institucionales para bloquear reformas.","- Radicalizar su discurso para movilizar a su base.
- Buscar mediación internacional (ej. organismos de derecha o iglesias).",Demandante,80
79,135,2025-08-20T04:00:00.000Z,LIBRE-Alianza Libre,"- Implementación de reformas estructurales (sociales, económicas, anticorrupción).
- Promoción de políticas inclusivas para pueblos indígenas y sectores marginados.
- Redistribución de recursos y mayor control estatal en sectores estratégicos.
","INTERESES
- Consolidar un modelo de gobierno participativo y descentralizado.
- Reducir desigualdades históricas y fortalecer la soberanía nacional.

NECESIDADES
- Expandir apoyo en áreas rurales y zonas periurbanas.
- Garantizar gobernabilidad ante obstrucción del PDC.
","- Sabotaje económico o desestabilización liderada por élites tradicionales.
- Intervencionismo externo (ej. injerencia de actores internacionales contrarios a sus políticas","- Movilización social y sindical para presionar por cambios.
- Uso de mayoría legislativa (si la tienen) para aprobar leyes.
- Alianzas con movimientos sociales y países afines ideológicamente.","- Negociar con sectores moderados del PDC.
- Convocar a asambleas populares para legitimar sus propuestas.
",Demandado,70
80,135,2025-08-20T04:00:00.000Z,GOBCEN-Gobierno Central,"- Garantizar estabilidad política ante polarización.
","INTERESES
Mantener control institucional y evitar crisis que afecten su legitimidad.

NECESIDADES
Equilibrar presiones de ambos bandos sin alienar a su base electoral.",Fractura social o conflictos violentos.,Movilizacion Social e institucional,"Promover diálogo multipartidista.
- Usar mecanismos constitucionales para limitar acciones radicales de ambos bandos.",Apoya a Demandante,60
81,135,2025-08-20T04:00:00.000Z,UN-Unidad Nacional,"Ser parte de la gestion presidencial, con la apuesta a ganador",Tener una participacion en el Estado Boliviano,No ser parte del que fuese ganador de las elecciones 2025 en segunda vuelta,Voto efectivo en primera vuelta,apoyar a PDC,Apoya a Demandante,60
82,135,2025-08-20T04:00:00.000Z,Medios de Comunicación,Cubrir el conflicto con enfoques polarizados (medios pro-PDC vs. pro-LIBRE),Movilizar audiencias y afectar percepciones ciudadanas.,Censura o ataques a la libertad de prensa.,prensa,Campañas de desprestigio o apoyo a uno de los bandos.,Apoya a Demandante,30
83,136,2025-12-22T04:00:00.000Z,"Sociedad Boliviana (Población en general, sectores afectados)","- Pérdida del subsidio a los carburantes, lo que generaría un aumento en los precios de combustibles, transporte y productos básicos.
- Impacto económico en hogares de bajos y medianos ingresos.
- Posible descontento social y protestas.","- Mantener el subsidio para evitar el encarecimiento de la vida.
- Garantizar estabilidad económica y acceso a combustibles a precios accesibles.","- Inflación y pérdida de poder adquisitivo.
- Que el gobierno no ofrezca compensaciones adecuadas.","- Movilizaciones y protestas (bloqueos, marchas).
- Presión mediática y diálogo con autoridades.
- Exigir alternativas o subsidios focalizados.","- Negociar con el gobierno para una transición gradual.
- Organizarse en sindicatos y asociaciones para ejercer presión.",Demandante,80
84,136,2025-12-22T04:00:00.000Z,GOBCEN-Gobierno Central,"- Eliminar el subsidio para reducir el déficit fiscal y reorientar recursos.
- Evitar crisis económicas a largo plazo por el alto costo de los subsidios.","- Sostenibilidad fiscal y cumplimiento de acuerdos con organismos internacionales.
- Evitar desabastecimiento o mercado negro de combustibles.","- Protestas masivas que desestabilicen al gobierno.
- Que la medida afecte su popularidad y apoyo político.","- Implementar compensaciones sociales (bonos, programas asistenciales).
- Campañas de comunicación para justificar la medida.
- Represión controlada o diálogo con líderes sociales.","- Negociar con sectores clave (transportistas, gremios) para atenuar el impacto.
- Retrasar o modificar la medida si la presión social es muy fuerte.",Demandado,80
85,136,2025-12-22T04:00:00.000Z,"Transportistas (Sindicatos de choferes, dueños de flotas)"," Aumento de costos operativos por combustibles más caros.
- Posible alza en tarifas de transporte y rechazo de la población.","- Mantener márgenes de ganancia sin perder clientes.
- Compensaciones o subsidios directos al sector.

Aceptan la medida","- Quiebra de pequeñas empresas de transporte.
- Conflictos con usuarios por aumentos de pasajes.","- Paros nacionales y bloqueos de carreteras.
- Exigir al gobierno subsidios específicos para el sector.","- Presionar al gobierno para negociar antes de aplicar la medida.
- Ajustar tarifas con acuerdos y dialogo",Apoya a Demandante,60
86,136,2025-12-22T04:00:00.000Z,"Empresarios y Sector Privado (Industria, comercio)","- Aumento de costos logísticos y productivos.
- Riesgo de inflación y menor consumo.","- Estabilidad económica para mantener ganancias.
- Evitar conflictos sociales que afecten sus operaciones.","- Caída en ventas por menor poder adquisitivo.
- Protestas que interrumpan cadenas de suministro.","- Presión al gobierno para medidas compensatorias.
- Ajustar precios de manera paulatina.","- Buscar alianzas con otros actores para negociar con el gobierno.
- Invertir en eficiencia energética para reducir impacto.",Apoya a Demandante,40
87,136,2025-12-22T04:00:00.000Z,"Organizaciones Sociales (sindicatos, movimientos indígenas)","- Defensa de los derechos económicos de la población vulnerable.
- Rechazo a políticas neoliberales o ajustes fiscales.","- Proteger a los sectores más pobres de alzas de precios.
- Mantener su influencia política y capacidad de movilización.","- Que el gobierno ignore sus demandas.
- Fracturas internas en sus organizaciones.","- Protestas masivas y paros nacionales.
- Exigir mesas de diálogo con el gobierno.","- Radicalizar protestas si no hay respuestas.
- Buscar apoyo internacional (OIT, ONU).",Apoya a Demandante,70
88,136,2025-12-22T04:00:00.000Z,Medios de Comunicación y Opinión Pública,"- Cubrir el conflicto y sus impactos sociales.
- Influir en la percepción pública sobre la medida.","- Informar de manera objetiva (o alineada a sus intereses políticos).
- Mantener audiencia y relevancia.","- Censura o represalias por parte del gobierno.
- Polarización social.","- Dar voz a distintos actores del conflicto.
- Presionar con investigaciones sobre corrupción o mal manejo de fondos.","- Moderar el discurso para evitar caos.
- Amplificar demandas sociales.",Apoya a Demandante,60
89,136,2025-12-22T04:00:00.000Z,Organismos Internacionales,"- Recomendaciones de ajuste fiscal para Bolivia.
- Presión para reducir subsidios como condición para créditos.
","- Estabilidad macroeconómica del país.
- Cumplimiento de acuerdos de deuda.
","- Crisis social que lleve a default o inestabilidad política.
",- Flexibilizar plazos o condiciones si hay riesgo de conflicto grave.,"- Monitorear el impacto social de la medida.
",Demandante,30
90,136,2025-12-22T04:00:00.000Z,COB-Central Obrera Boliviana,Defensa de los derechos económicos de los trabajadores ante la eliminación de la subvención. Lucha contra el encarecimiento de la canasta básica y la exigencia de la abrogación del DS 5503 por considerarlo una medida neoliberal.,"ntereses: Mantener su relevancia política como el principal interlocutor social del país y proteger el poder adquisitivo de sus bases. Necesidades: Garantizar que cualquier ajuste económico venga acompañado de compensaciones reales (alzas salariales, bonos) y estabilidad laboral.","Licuación de las conquistas (Inflación): El temor principal es que el aumento de precios en la canasta básica supere rápidamente el porcentaje de incremento salarial y los bonos pactados en el DS 5516, dejando a los trabajadores en una situación peor que antes del conflicto.

Fractura y desborde de las bases: El miedo a perder el control sobre sus afiliados. Si los sectores más radicales (como los mineros o el magisterio) consideran que la dirigencia ""se vendió"" al gobierno de Rodrigo Paz, la COB podría sufrir fracturas internas o ser sobrepasada por movimientos sociales más extremistas.

Incumplimiento gubernamental por falta de fondos: Temen que el Estado, debido al déficit fiscal, no tenga la liquidez necesaria para pagar los nuevos bonos de alivio social, convirtiendo el acuerdo de El Alto en una ""promesa vacía"" que los dejaría expuestos ante sus bases.

Pérdida de legitimidad política: Que la población general los perciba no como defensores del pueblo, sino como un grupo de presión que solo busca beneficios corporativos, debilitando su influencia histórica en la política boliviana.

Criminalización posterior: El miedo a que, una vez estabilizada la situación, el Gobierno inicie procesos judiciales contra sus dirigentes por el daño económico causado durante los días de bloqueo nacional.","Capacidad de movilización masiva, huelgas generales, bloqueos de carreteras a nivel nacional y la instalación de mesas de negociación directa con el Presidente.","1. Consensuar: Participar en la redacción del nuevo decreto (DS 5516).


2. Vigilar: Mantener el ""estado de emergencia"" para asegurar el cumplimiento de acuerdos.


3. Radicalizar: Retomar los bloqueos si el costo de vida se dispara pese a los bonos.",Demandante,90
91,148,2026-02-06T04:00:00.000Z,1. Transportistas (Sindicatos y Asociaciones de Choferes),"- Denuncian daños técnicos en sus vehículos por mala calidad de la gasolina suministrada por YPFB.
- Exigen compensación económica por reparaciones y pérdidas laborales.
- Reclaman garantías de calidad para futuros suministros.
","- **Intereses:** Mantener operatividad de sus unidades, evitar gastos imprevistos y proteger su fuente de ingresos.
- **Necesidades:** Combustible de calidad certificada, indemnización por daños y diálogo directo con YPFB/gobierno.","- Que no se reconozca su demanda, agravando sus pérdidas económicas.
- Que el problema persista, llevándolos a la quiebra.
- Represalias políticas o legales por las movilizaciones.
","- Intensificar protestas (bloqueos, marchas).
- Buscar alianzas con otros gremios (ej. comerciantes, agricultores).
- Presentar demandas legales contra YPFB y exigir auditorías independientes.","- Negociar con YPFB/Gobierno bajo mediación de entidades internacionales (ej. OIT).
- Acudir a la prensa para visibilizar el conflicto.
- Paralizar servicios de transporte a nivel nacional.",Demandante,40
92,148,2026-02-06T04:00:00.000Z,Yacimientos Petrolíferos Fiscales Bolivianos (YPFB),"- Defensa de la calidad de su combustible y procesos de distribución.
- Presión por resolver el conflicto para evitar desabastecimiento y crisis energética.
","- **Intereses:** Proteger su reputación como empresa estatal y mantener estabilidad operativa.
- **Necesidades:** Validar técnicamente la calidad de su gasolina y desmentir acusaciones.
","- Crisis institucional que cuestione su rol estratégico.
- Sanciones internacionales o pérdida de mercados si se confirma mala calidad.
- Costos elevados por indemnizaciones o cambios en infraestructura.
","- Publicar informes técnicos avalados por laboratorios independientes.
- Ofrecer garantías limitadas a transportistas afectados (ej. descuentos en combustible).
- Demandar a transportistas por daños reputacionales si las acusaciones son infundadas.
","- Crear una comisión técnica mixta con representantes de transportistas.
- Reforzar controles de calidad en refinerías y centros de distribución.
- Solicitar apoyo del gobierno para blindarse políticamente.
",Demandado,70
93,148,2026-02-06T04:00:00.000Z,GOBCEN-Gobierno Central,"- Evitar escalada del conflicto que afecte la economía y la gobernabilidad.
- Mediar entre transportistas y YPFB para proteger intereses del Estado.
","- **Intereses:** Preservar estabilidad social, evitar desgaste político en año preelectoral (2026).
- **Necesidades:** Solución rápida sin ceder a presiones que afecten las finanzas públicas.
","- Radicalización de protestas con bloqueos críticos (ej. carreteras, ciudades).
- Crisis energética que impacte a otros sectores (industria, ciudadanos).
- Pérdida de credibilidad si se demuestra negligencia de YPFB.
","- Impulsar mesas de diálogo con mediación de organismos internacionales.
- Aprobar normativas emergentes para estandarizar calidad de combustibles.
- Usar fuerzas de seguridad para desbloquear vías si hay violencia.","- Presionar a YPFB a asumir responsabilidades parciales.
- Promover una ley de compensación económica a transportistas con fondos estatales.
- Culpar a factores externos (ej. sabotaje, contrabando) para desviar responsabilidades.
",Apoya a Demandado,90
94,148,2026-02-06T04:00:00.000Z,Usuarios de Transporte Público y Ciudadanía,"- Sufren las consecuencias de paros y aumentos de tarifas por el conflicto.
- Preocupación por seguridad vial si circulan vehículos en mal estado.
","- **Intereses:** Movilidad accesible, segura y sin interrupciones.
- **Necesidades:** Soluciones urgentes al conflicto y transparencia en las investigaciones.
","- Escasez de transporte y encarecimiento de servicios.
- Riesgos por uso de gasolina defectuosa (ej. accidentes, contaminación).
","- Organizar protestas para exigir fin del conflicto.
- Demandar a transportistas y YPFB por daños colectivos.
","- Presionar a autoridades locales para intermediar.
- Recurrir a alternativas (ej. bicicletas, vehículos particulares).
",Apoya a Demandante,30
95,148,2026-02-06T04:00:00.000Z,"Gremios Económicos Afines (Cámaras de Comercio, Industria)","- Daños económicos por bloqueos y desabastecimiento de insumos.
","- **Intereses:** Reactivación de cadenas logísticas y protección de sus negocios.
- **Necesidades:** Diálogo rápido entre actores para reanudar actividades.
","- Pérdidas millonarias y cierre de empresas en sectores vinculados (ej. turismo, agro).
","- Exigir al gobierno priorizar el orden público.
- Ofrecer apoyo logístico o financiero para facilitar acuerdos.
","- Sumarse a las protestas de transportistas si el gobierno no actúa.
- Lanzar campañas para desacreditar medidas radicales de cualquier bando.
",Apoya a Demandante,10
96,148,2026-02-06T04:00:00.000Z,Medios de Comunicación y Redes Sociales,"- Cubrir el conflicto desde ángulos políticos, técnicos y sociales.
- Amplificar voces de actores en pugna o ciudadanos afectados.","- **Intereses:** Audiencia e impacto informativo.
- **Necesidades:** Acceso a fuentes primarias (YPFB, transportistas, gobierno).
","- Censura gubernamental o ataques por parte de grupos radicalizados.
","- Investigar denuncias técnicas sobre calidad del combustible.
- Generar espacios de debate con expertos independientes.
","- Presionar para obtener documentos oficiales sobre controles de YPFB.
- Viralizar testimonios de transportistas y usuarios para influir en la opinión pública.
",Apoya a Demandante,40
97,132,2026-02-12T04:00:00.000Z,Rodrigo Paz (Presidente de Bolivia),Reencauzar la industrializacion; transparencia en contratos; nueva politica energetica.,Revertir el deficit fiscal; atraer inversion estrategica; pacificacion tras la crisis de 2025.,Recesion economica profunda; heredar conflictos de la gestion anterior (Arce); desabastecimiento energetico.,Poder politico; gabinete tecnico (Medinaceli); dialogo con regiones civicas.,Dialogo y negociacion,Demandado,95
98,132,2026-02-12T04:00:00.000Z,Rodrigo Paz (Presidente de Bolivia),Reencauzar la industrializacion; transparencia en contratos; nueva politica energetica.,Revertir el deficit fiscal; atraer inversion estrategica; pacificacion tras la crisis de 2025.,Recesion economica profunda; heredar conflictos de la gestion anterior (Arce); desabastecimiento energetico.,Poder politico; gabinete tecnico (Medinaceli); dialogo con regiones civicas.,Dialogo y negociacion,Demandado,95
99,132,2026-02-12T04:00:00.000Z, YLB,Gestion de contratos aprobados; implementacion de tecnologia EDL; defensa legal de YLB.,Continuidad operativa; legitimacion tecnica frente a cuestionamientos de Potosi.,Auditorias por casos de gestiones previas (Botrading); rechazo de sectores regionales.,Respaldo del Ministro Medinaceli; informes tecnicos de produccion.,Lograr apoyo de ley conveniente; apostar por el dialogo tecnico y negociar,Demandado,80
100,132,2026-02-12T04:00:00.000Z,Min. Hidrocarburos,Definicion de nueva politica energetica; apertura total de informacion del sector.,Institucionalidad y eficiencia tecnica; creacion de organismo multinacional de litio.,Corrupcion heredada; falta de resultados inmediatos que calmen la presion social.,Auditorias; cambios normativos (Energias Verdes); acceso a medios.,Buscar alianzas politicas; implementar estrategias de comunicacion para generar confianza.,Demandado,85
101,132,2026-02-12T04:00:00.000Z,Yamile Cruz Frutcas,Aprobacion de su propuesta de ley para la industrializacion del litio y beneficio de su Organizacion y de la Region.,"Le interesa adjudicarse contratos para brindar servicios de catering, limpieza u otros a YLB.
Le interesa tener reditos economicos personales a traves de sus allegados.
Necesita mantener vigente ne la politica entorno al Litio para aspirar a ser senadora en 2025 por la Region del Sud Oeste Potosino.","Teme que se realicen nuevas elecciones de la directiva de FRUTCAS y pierda su puesto de Secretaria Ejecutiva.
Teme perder el apoyo de dirigentes politicos.
Teme su posicion de actor clave y su poder de negociacion sobre temas estrategicos para su beneficio, como contratos a sus allegados dentro de YLB.","Poder politico: Apoyo de Evo Morales
Poder politico: Apoyo del Consejo Municipal de Colcha K (su marido es Consejal)
Poder politico: Alianza con Gladys Rocha, Secretaria Ejecutiva de FSUMCAS
Apoyo economico: Su suegro es Maximo Gonzales, aliado de la Minera San Cristobal.",Generar espacios de dialogo dirigido a sus bases con la participacion de la academia para tratar de lograr posicionarse como actor clave en torno a la tematica del litio y recuperar el apoyo social.,Demandante ,65
102,132,2026-02-12T04:00:00.000Z,"Qinghua Zhou (Representante)
Consorcio CATL, BRUNP y CMOC)
(Consorcio CBC)","Transferir tecnologia para lograr el desarrollo e industrianizacion del litio en Bolivia
Generacion de reditos economicos y sociales","Tienen interes geopolitico en la region para hacerse con un recurso valioso como el Litio, que es el futuro de las energias renovables.
Les interesa establecer acuerdos y convenios con YLB para participar en la industrializacion del litio en Bolivia. Estas empresas estan interesadas en la extraccion, fabricacion y reciclaje de baterias de litio, ya que son actores importantes en el mercado de vehiculos electricos y energia renovable.
El consorcio CBC necesita asegurar acuerdos favorables que les permitan acceder a los recursos de litio en Bolivia y establecer una presencia solida en la cadena de valor del litio. Tambien necesitan garantizar que la extraccion y el procesamiento del litio sean eficientes y rentables para sus operaciones comerciales.","El convenio ha generado especulaciones y rumores sobre su naturaleza y consecuencias, incluyendo la perdida de soberania sobre el salar de Uyuni. El consorcio teme que a raiz de ello, su trabajo se vea perjudicado e incluso detenido por medidas que vayan a tomar los habitantes.
Dado que el litio es considerado un recurso estrategico para Bolivia y existe un enfoque en el control estatal sobre la cadena productiva, el consorcio podria temer que su participacion este sujeta a restricciones o cambios en las politicas nacionales. Esto podria afectar sus intereses al limitar su capacidad para operar de acuerdo con sus propias estrategias y estandares comerciales.","Poder economico: El consorcio CBC se propone invertir en Bolivia mas de $us 1.000 millones, para la construccion de dos complejos industriales de EDL, en Oruro y en Potosi. Este consorcio esta compuesto por empresas chinas lideres en la fabricacion de baterias y la extraccion de minerales, posee recursos financieros y tecnologicos significativos. Esto les otorga una posicion de poder en las negociaciones y les permite influir en el desarrollo de la industria del litio en Bolivia.","Establecer un acuerdo claro y transparente entre YLB y el consorcio CBC que defina las responsabilidades de cada parte y los beneficios mutuos. Esto ayudaria a disipar los rumores y especulaciones sobre el convenio.
Realizar estudios de factibilidad para evaluar los metodos de extraccion de litio, como la Extraccion Directa de Litio (EDL), y determinar su viabilidad tecnica, economica, financiera y legal.
Garantizar que el convenio respete la soberania de Bolivia sobre los recursos de litio y proteja los intereses nacionales a largo plazo.
Fomentar la transparencia y la participacion ciudadana en el desarrollo de la industria del litio, para asegurar que los beneficios economicos y sociales sean compartidos equitativamente y se minimicen los impactos ambientales.",Demandado,75
103,132,2026-02-12T04:00:00.000Z,QINGHAI CITIC GUOAN,"Transferir tecnologia para lograr el desarrollo e industrianizacion del litio en Bolivia
Generacion de reditos economicos y sociales","Tienen interes geopolitico en la region para hacerse con un recurso valioso como el Litio, que es el futuro de las energias renovables.
Su interes radica en aprovechar las oportunidades comerciales y la creciente demanda de baterias de litio en el mercado global.
Necesita asegurar un acuerdo con YLB que le permita establecer una planta de produccion de carbonato de litio en el salar de Uyuni. Tambien necesita realizar estudios de factibilidad y diseno final del proyecto, asi como garantizar el cumplimiento de las leyes y normativas bolivianas en su modelo de negocio.","Existe preocupacion en cuanto a la falta de informacion detallada sobre el convenio y sus terminos, lo que genera especulaciones y desconfianza en la opinion publica. La falta de transparencia puede dificultar la planificacion y la toma de decisiones estrategicas por parte de la empresa, lo que podria impactar su capacidad para invertir y operar de manera efectiva en Bolivia.
Dado que el litio es considerado un recurso estrategico para Bolivia y existe un enfoque en el control estatal sobre la cadena productiva, QINGHAI CITIC GUOAN podria temer que su participacion este sujeta a restricciones o cambios en las politicas nacionales. Esto podria afectar sus intereses al limitar su capacidad para operar de acuerdo con sus propias estrategias y estandares comerciales.",Poder economico: QINGHAI CITIC GUOAN es una empresa china con experiencia en la industria del litio y recursos financieros para invertir en la construccion de la planta de carbonato de litio. Tambien cuenta con capacidad tecnologica para implementar la tecnologia de Extraccion Directa de Litio.,"Establecer un acuerdo claro y transparente entre YLB y el consorcio CBC que defina las responsabilidades de cada parte y los beneficios mutuos. Esto ayudaria a disipar los rumores y especulaciones sobre el convenio.
Realizar estudios de factibilidad para evaluar los metodos de extraccion de litio, como la Extraccion Directa de Litio (EDL), y determinar su viabilidad tecnica, economica, financiera y legal.
Garantizar que el convenio respete la soberania de Bolivia sobre los recursos de litio y proteja los intereses nacionales a largo plazo.
Fomentar la transparencia y la participacion ciudadana en el desarrollo de la industria del litio, para asegurar que los beneficios economicos y sociales sean compartidos equitativamente y se minimicen los impactos ambientales.",Demandado,70
104,132,2026-02-12T04:00:00.000Z,Uranium One Group (Rusia),Transferencia de tecnologia EDL; construccion de plantas de carbonato.,Establecer presencia solida en la cadena de valor del litio boliviano.,Falta de seguridad juridica; que el litio sea considerado un recurso excesivamente sensible.,Inversion proyectada de $us 450 millones; apoyo politico derivado de la relacion con el Estado.,Definir responsabilidades de cada parte; fomentar transparencia y participacion ciudadana.,Demandado,75
105,132,2026-02-12T04:00:00.000Z,"Heriberto Chavarria, Central Obrera Departamental de Potosi",Discutir y definir las condiciones relacionadas con la extraccion y el aprovechamiento de los recursos de litio en el pais.,"Interes de nacionalizar los recursos naturales y participar en la industrializacion del litio para asegurar beneficios para los trabajadores suscritos a la COB
Le interesa mantener su legitimidad con las bases
Necesita tener un redito politico y ganarse la complacencia del Presidente.
Le interesa obtener un redito economico de las negociaciones que se den en torno la industrializacion del Litio.
Le interesa ser un actor clave en el tema coyuntural como la industrializacion del Litio y sus beneficios economicos.","Existe el temor de que los intereses externos puedan interferir en el control y beneficio de los recursos naturales de Bolivia, como el litio.
Teme perder su legitimidad con las bases y no ser reelecto al puesto
Teme perder el apoyo del Presidente.
Teme no obtener ningun redito economico de las negociaciones que se den en torno la industrializacion del Litio.","Poder social: se basa en la representatividad de la Central Obrera Departamental y su capacidad para movilizar a los trabajadores y generar presion a traves de medidas como ampliados y paros.
Poder politico: aliado del Presiddente Luis Arce","La COD puede ejercer presion para garantizar la participacion de los trabajadores en la industrializacion del litio.
Tiene capacidad de movilizacion y de generar conflicto como organizacion sindical, en caso de no convertirse en actor clave o pierda el aval del Presidente.",Demandante,60
106,132,2026-02-12T04:00:00.000Z,COMCIPO (Comite Civico Potosinista),Exigencia de ley con regalias justas (entre 11% y 20%) y transparencia.,Ganar legitimidad regional; asegurar beneficios directos para el departamento de Potosi.,Quedar fuera del liderazgo regional; que la ley no sea aprobada segun sus demandas.,"Poder social: movilizaciones, bloqueos y huelgas de hambre para presionar.",Vinculos con otras organizaciones sociales; vinculacion con alguna organizacion politica de oposicion.,Demandante,85
107,132,2026-02-12T04:00:00.000Z,Gobierno Autonomo de Potosi,"Desarrollo y aprovechamiento de los recursos de litio en Potosi
Creacion de empleo a traves de la industrializacion del litio
Representacion y proteccion de los intereses de la region de Potosi en el ambito politico y economico.
Apoyo a la Direccion Departamental del Litio que propondra diferentes estrategias de como el departamento debe participar en toda la cadena productiva de litio","Le interesa ganar legitimidad frente a la poblacion con medidas como la Direccion Departamental del Litio que evaluara como el departamento debe involucrarse en la produccion de Litio.
Le interesa asegurar apoyo de su partido permitiendo que las decisiones que se tomen respecto a la explotacion del lito puedan tomar efecto en el territorio","Teme no asegurar su posicion como nueva dirigencia de la gobernacion.
Teme no tener la legitimidad tras los procesos al exgobernador.","Poder politico: Como aliado al Gobierno Central de Arce.
Poder economico: Porque tiene parte del aparato estatal a su disposicion.
Poder social: trabajando con las organizaciones alineadas con el Presidente Arce","Buscar apoyo y respaldo de las organizaciones sociales y actores politicos de la region de Potosi para fortalecer su posicion y demandas en el conflicto.
Negociar para asegurar a la gente de su confianza en puestos donde pueden obtener y darle reditos economicos en torno a las plantas de Litio.
Negociar directamente al mas alto nivel las regalias.",Apoya al Demandante ,70
108,132,2026-02-12T04:00:00.000Z,Gobierno Autonomo de Oruro,"Consolidar un proyecto de ley que declare de interes estrategico y de prioridad departamental la implementacion de planes y proyectos relacionados con el litio.
Impulsar la industrializacion del litio y normar las futuras regalias en beneficio de la region.","Tiene el interes de industrializar el Litio con base en Oruro. Quiere tener el control de las empresas  que operen.
Tiene interes en ser re-electo para gobernador en una proxima gestion.","Teme no tener el control de las Plantas de industrializacion del Litio y que estas empresas no esten en territorio Orureno.
Teme que en el proceso de negociacion y de promulgacion de la ley del Litio pierda el departamento de Oruro y, por ende, sea una derrota politica para el.","Poder politico: Como Gobernador de Oruro, Johnny Vedia Rodriguez tiene liderazgo regional para impulsar la agenda del litio. Tambien cuenta con el respaldo de la Senadora Mery Choque.
Poder social: Cuenta con el respaldo de instituciones como la Universidad Tecnica de Oruro, la Universidad Tomas Frias, empresarios privados, alcaldes de municipios involucrados, autoridades ejecutivas y legislativas de Oruro.","Establecer alianzas con diferentes instituciones, como el Comite Impulsor del Litio, la Sociedad de Ingenieros de Bolivia (SIB-Oruro) y la Universidad Tecnica de Oruro, con el fin de respaldar y promover el desarrollo de los recursos evaporiticos en Oruro",Apoya al Demandante,65
109,132,2026-02-12T04:00:00.000Z,"Froilan Condori
Exdirigentes de la FRUTCAS","Dijo que ya no quieren “trafico de pegas”, para lo cual piden un nuevo congreso para elegir, de acuerdo a su estatuto organico, una nueva directiva de FRUTCAS.
Pide la renuncia de Yamile Cruz","Le interesa mantener su legitimidad con las bases
Necesita tener un redito politico y ganarse la confianza del Presidente.
Le interesa obtener un redito economico de las negociaciones que se den en torno la industrializacion del Litio.
Le interesa ser un actor clave en el tema coyuntural como la industrializacion del Litio y sus beneficios economicos.
Le interesa volver a retomar el liderazgo oficial de FRUTCAS.","Teme perder su legitimidad con las bases
Teme no obtener un redito politico y no ganarse la confianza del Presidente.
Teme no obtener un redito economico de las negociaciones que se den en torno a la industrializacion del Litio.
Teme dejar de ser un actor clave en el tema coyuntural como la industrializacion del Litio y sus beneficios economicos.",Poder social: Su influencia esta respaldada por ex dirigentes y gente que se esta desmarcando de la Federacion Sindical unica de Trabajadores Campesinos de Oruro (FSUTCO) y Federacion Regional unica de Trabajadores y Campesinos del Altiplano Sur (FRUTCAS),Continuar con la antagonizacion de Yamile Cruz,Apoya al Demandante,40
110,132,2026-02-12T04:00:00.000Z,FEJUVE UYUNI,1. Generar redito economico y fuentes de trabajo para los pobladores de Uyini,"Su gran Interes es ser parte activa de las decisiones en tema del Litio.
 como Uyuni es la capital del Sud Oeste, en honor a ello quieren tener las Plantas y centros de Formacion Academica en tema Litio que esten en la ciudad de Uyuni.",Ser desplazados como organizacion en la toma de decisiones sobre la explotacion del litio.,"Poder social 
Poder de movilizacion de sus bases en casode que se tomen medidas en contra de Uyuni",Apoyo al Estado y a toda empresa que vaya a explotar litio en el sector.,Demandante,55
111,132,2026-02-12T04:00:00.000Z,GAM Uyuni,Generar redito economico y fuentes de trabajo para los pobladores de Uyuni,Explotar litio mientras no afecte la calidad y cantidad del agua.,Quedarse sin agua en la region de Uyuni,Poder polītico de movilizacion institucional en caso de que se tomen medidas en contra de Uyuni,"Procesos de dialogo, mesas de trabajo, cumbres, en torno al agua.",Apoya al Demandante,60
112,132,2026-02-12T04:00:00.000Z,Comite Civico de Uyuni,Generar redito economico y fuentes de trabajo para los pobladores de Uyuni,"Explotar litio mientras no afecte la calidad y cantidad del agua.
Ganar legitimidad frente a su poblacion.",Que no sean tomados en cuenta en las decisiones sobre la explotacion del litio.,"Poder social
Poder de movilizacion de sus bases en casode que se tomen medidas en contra de Uyuni","Procesos de dialogo, mesas de trabajo, cumbres, en torno al agua.",Demandante,60
