idconvenioseguimiento,idconveniopunto,fechasegconv,estado,fuente,referenciafuente,datoscontacto,seguimientocumplimiento,observaciones
36,40,,CONCLUIDO,ACTA DE REUNION,https://drive.google.com/drive/folders/1ihgA6y-qb6BFeoaJnEFTg6gyA1ONii5x?usp=drive_link,,"SE REALIZA LA COORDINACIÓN CON LOS GAM SOLICITANTES PARA ORGANIZAR REUNIONES Y DAR ATENCIÓN A SUS SOLICITUDES, DUDAS, CONSULTAS O SEGUIMIENTO AL ESTADO DE SUS PROYECTOS, EN TODAS LAS DIRECCIONES. 
ASI MISMO, SE GARANTIZA LA PRIORIZACIÓN DE LOS PROYECTOS TODA VEZ QUE LAS ETAs (ENTIDADES TERRITORIALES AUTONOMAS) PRESENTEN SUS PROYECTOS EN CORTO PLAZO QUE CUMPLAN NORMATIVA VIGENTE DEL SECTOR, YA QUE NO SE PODRIA  ASEGURAR EL FINANCIAMIENTO SIN QUE HAYA UNA SOLICITUD PREVIA Y PRESENTACION DEL PROYECTO POR PARTE DEL GAM.
DE IGUAL MANERA, SE GESTIONÓ  Y ORGANIZARON TALLERES A NIVEL NACIONAL PARA FORTALECER EN EL TEMA DE ELABORACIÓN DE ITCP Y EDTP INVITANDO A TODOS LOS GAMs.","FORTALECER LA ARTICULACIÓN ENTRE NIVELES DEL ESTADO Y ACTORES
 INSTITUCIONALES PARA LA IDENTIFICACIÓN, PRIORIZACIÓN Y GESTIÓN DE PROYECTOS DE INVERSIÓN PÚBLICA EN LOS ÁMBITOS DE VIVIENDA, INFRAESTRUCTURA, AGUA, RIEGO Y DESARROLLO PRODUCTIVO, CONSIDERANDO LAS NECESIDADES TERRITORIALES, LA SITUACIÓN ECONÓMICA Y LAS CARACTERÍSTICAS SOCIOCULTURALES DE LA POBLACIÓN DE LA PROVINCIA CAMACHO"
37,41,,CONCLUIDO,ACTA DE REUNION,https://drive.google.com/drive/folders/1ihgA6y-qb6BFeoaJnEFTg6gyA1ONii5x?usp=drive_link,,"SE REALIZA LA COORDINACIÓN CON LOS GAM SOLICITANTES PARA ORGANIZAR REUNIONES Y DAR ATENCIÓN A SUS SOLICITUDES, DUDAS, CONSULTAS O SEGUIMIENTO AL ESTADO DE SUS PROYECTOS, EN TODAS LAS DIRECCIONES. 
ASI MISMO, SE GARANTIZA LA PRIORIZACIÓN DE LOS PROYECTOS TODA VEZ QUE LAS ETAs (ENTIDADES TERRITORIALES AUTONOMAS) PRESENTEN SUS PROYECTOS EN CORTO PLAZO QUE CUMPLAN NORMATIVA VIGENTE DEL SECTOR, YA QUE NO SE PODRIA  ASEGURAR EL FINANCIAMIENTO SIN QUE HAYA UNA SOLICITUD PREVIA Y PRESENTACION DEL PROYECTO POR PARTE DEL GAM.
DE IGUAL MANERA, SE GESTIONÓ  Y ORGANIZARON TALLERES A NIVEL NACIONAL PARA FORTALECER EN EL TEMA DE ELABORACIÓN DE ITCP Y EDTP INVITANDO A TODOS LOS GAMs.","FORTALECER LA ARTICULACIÓN ENTRE NIVELES DEL ESTADO Y ACTORES
 INSTITUCIONALES PARA LA IDENTIFICACIÓN, PRIORIZACIÓN Y GESTIÓN DE PROYECTOS DE INVERSIÓN PÚBLICA EN LOS ÁMBITOS DE VIVIENDA, INFRAESTRUCTURA, AGUA, RIEGO Y DESARROLLO PRODUCTIVO, CONSIDERANDO LAS NECESIDADES TERRITORIALES, LA SITUACIÓN ECONÓMICA Y LAS CARACTERÍSTICAS SOCIOCULTURALES DE LA POBLACIÓN DE LA PROVINCIA CAMACHO"
38,42,,CONCLUIDO,ACTA DE REUNION,https://drive.google.com/drive/folders/1wyEAhAEEoCGtUZXanIjwy7NW1UScltQ9?usp=drive_link,,"SE REALIZA LA COORDINACIÓN CON LOS GAM SOLICITANTES PARA ORGANIZAR REUNIONES Y DAR ATENCIÓN A SUS SOLICITUDES, DUDAS, CONSULTAS O SEGUIMIENTO AL ESTADO DE SUS PROYECTOS, EN TODAS LAS DIRECCIONES. 
ASI MISMO, SE GARANTIZA LA PRIORIZACIÓN DE LOS PROYECTOS TODA VEZ QUE LAS ETAs (ENTIDADES TERRITORIALES AUTONOMAS) PRESENTEN SUS PROYECTOS EN CORTO PLAZO QUE CUMPLAN NORMATIVA VIGENTE DEL SECTOR, YA QUE NO SE PODRIA  ASEGURAR EL FINANCIAMIENTO SIN QUE HAYA UNA SOLICITUD PREVIA Y PRESENTACION DEL PROYECTO POR PARTE DEL GAM.
DE IGUAL MANERA, SE GESTIONÓ  Y ORGANIZARON TALLERES A NIVEL NACIONAL PARA FORTALECER EN EL TEMA DE ELABORACIÓN DE ITCP Y EDTP INVITANDO A TODOS LOS GAMs."," INSTITUCIONALES PARA LA IDENTIFICACIÓN, PRIORIZACIÓN Y GESTIÓN DE PROYECTOS DE INVERSIÓN PÚBLICA EN LOS ÁMBITOS DE VIVIENDA, INFRAESTRUCTURA, AGUA, RIEGO Y DESARROLLO PRODUCTIVO, CONSIDERANDO LAS NECESIDADES TERRITORIALES, LA SITUACIÓN ECONÓMICA Y LAS CARACTERÍSTICAS SOCIOCULTURALES DE LA POBLACIÓN DE LA PROVINCIA."
39,43,,CONCLUIDO,ACTA DE REUNION,https://drive.google.com/drive/folders/1wyEAhAEEoCGtUZXanIjwy7NW1UScltQ9?usp=drive_link,,"SE REALIZA LA COORDINACIÓN CON LOS GAM SOLICITANTES PARA ORGANIZAR REUNIONES Y DAR ATENCIÓN A SUS SOLICITUDES, DUDAS, CONSULTAS O SEGUIMIENTO AL ESTADO DE SUS PROYECTOS, EN TODAS LAS DIRECCIONES. 
ASI MISMO, SE GARANTIZA LA PRIORIZACIÓN DE LOS PROYECTOS TODA VEZ QUE LAS ETAs (ENTIDADES TERRITORIALES AUTONOMAS) PRESENTEN SUS PROYECTOS EN CORTO PLAZO QUE CUMPLAN NORMATIVA VIGENTE DEL SECTOR, YA QUE NO SE PODRIA  ASEGURAR EL FINANCIAMIENTO SIN QUE HAYA UNA SOLICITUD PREVIA Y PRESENTACION DEL PROYECTO POR PARTE DEL GAM.
DE IGUAL MANERA, SE GESTIONÓ  Y ORGANIZARON TALLERES A NIVEL NACIONAL PARA FORTALECER EN EL TEMA DE ELABORACIÓN DE ITCP Y EDTP INVITANDO A TODOS LOS GAMs."," INSTITUCIONALES PARA LA IDENTIFICACIÓN, PRIORIZACIÓN Y GESTIÓN DE PROYECTOS DE INVERSIÓN PÚBLICA EN LOS ÁMBITOS DE VIVIENDA, INFRAESTRUCTURA, AGUA, RIEGO Y DESARROLLO PRODUCTIVO, CONSIDERANDO LAS NECESIDADES TERRITORIALES, LA SITUACIÓN ECONÓMICA Y LAS CARACTERÍSTICAS SOCIOCULTURALES DE LA POBLACIÓN DE LA PROVINCIA."
40,44,,CONCLUIDO,ACTA DE REUNION,https://drive.google.com/drive/folders/1QGXuCyfv7ipHAoG67VKEsN1O9HPyyUqz?usp=drive_link,,"SE REALIZA LA COORDINACIÓN CON LOS GAM SOLICITANTES PARA ORGANIZAR REUNIONES Y DAR ATENCIÓN A SUS SOLICITUDES, DUDAS, CONSULTAS O SEGUIMIENTO AL ESTADO DE SUS PROYECTOS, EN TODAS LAS DIRECCIONES. 
ASI MISMO, SE GARANTIZA LA PRIORIZACIÓN DE LOS PROYECTOS TODA VEZ QUE LAS ETAs (ENTIDADES TERRITORIALES AUTONOMAS) PRESENTEN SUS PROYECTOS EN CORTO PLAZO QUE CUMPLAN NORMATIVA VIGENTE DEL SECTOR, YA QUE NO SE PODRIA  ASEGURAR EL FINANCIAMIENTO SIN QUE HAYA UNA SOLICITUD PREVIA Y PRESENTACION DEL PROYECTO POR PARTE DEL GAM.
DE IGUAL MANERA, SE GESTIONÓ  Y ORGANIZARON TALLERES A NIVEL NACIONAL PARA FORTALECER EN EL TEMA DE ELABORACIÓN DE ITCP Y EDTP INVITANDO A TODOS LOS GAMs."," INSTITUCIONALES PARA LA IDENTIFICACIÓN, PRIORIZACIÓN Y GESTIÓN DE PROYECTOS DE INVERSIÓN PÚBLICA EN LOS ÁMBITOS DE VIVIENDA, INFRAESTRUCTURA, AGUA, RIEGO Y DESARROLLO PRODUCTIVO, CONSIDERANDO LAS NECESIDADES TERRITORIALES, LA SITUACIÓN ECONÓMICA Y LAS CARACTERÍSTICAS SOCIOCULTURALES DE LA POBLACIÓN DE LA PROVINCIA."
41,45,,CONCLUIDO,ACTA DE REUNION,https://drive.google.com/drive/folders/1ZstMZCcyvha15Dppwa6DJCYHBl8dJM4G?usp=drive_link,,"SE REALIZA LA COORDINACIÓN CON LOS GAM SOLICITANTES PARA ORGANIZAR REUNIONES Y DAR ATENCIÓN A SUS SOLICITUDES, DUDAS, CONSULTAS O SEGUIMIENTO AL ESTADO DE SUS PROYECTOS, EN TODAS LAS DIRECCIONES. 
ASI MISMO, SE GARANTIZA LA PRIORIZACIÓN DE LOS PROYECTOS TODA VEZ QUE LAS ETAs (ENTIDADES TERRITORIALES AUTONOMAS) PRESENTEN SUS PROYECTOS EN CORTO PLAZO QUE CUMPLAN NORMATIVA VIGENTE DEL SECTOR, YA QUE NO SE PODRIA  ASEGURAR EL FINANCIAMIENTO SIN QUE HAYA UNA SOLICITUD PREVIA Y PRESENTACION DEL PROYECTO POR PARTE DEL GAM.
DE IGUAL MANERA, SE GESTIONÓ  Y ORGANIZARON TALLERES A NIVEL NACIONAL PARA FORTALECER EN EL TEMA DE ELABORACIÓN DE ITCP Y EDTP INVITANDO A TODOS LOS GAMs."," INSTITUCIONALES PARA LA IDENTIFICACIÓN, PRIORIZACIÓN Y GESTIÓN DE PROYECTOS DE INVERSIÓN PÚBLICA EN LOS ÁMBITOS DE VIVIENDA, INFRAESTRUCTURA, AGUA, RIEGO Y DESARROLLO PRODUCTIVO, CONSIDERANDO LAS NECESIDADES TERRITORIALES, LA SITUACIÓN ECONÓMICA Y LAS CARACTERÍSTICAS SOCIOCULTURALES DE LA POBLACIÓN DE LA PROVINCIA."
42,46,,CONCLUIDO,ACTA DE REUNION,https://drive.google.com/drive/folders/1USR7HcCS_O4CSQ35bFADL7rkOjBtCKtP?usp=drive_link,,"SE REALIZA LA COORDINACIÓN CON LOS GAM SOLICITANTES PARA ORGANIZAR REUNIONES Y DAR ATENCIÓN A SUS SOLICITUDES, DUDAS, CONSULTAS O SEGUIMIENTO AL ESTADO DE SUS PROYECTOS, EN TODAS LAS DIRECCIONES. 
ASI MISMO, SE GARANTIZA LA PRIORIZACIÓN DE LOS PROYECTOS TODA VEZ QUE LAS ETAs (ENTIDADES TERRITORIALES AUTONOMAS) PRESENTEN SUS PROYECTOS EN CORTO PLAZO QUE CUMPLAN NORMATIVA VIGENTE DEL SECTOR, YA QUE NO SE PODRIA  ASEGURAR EL FINANCIAMIENTO SIN QUE HAYA UNA SOLICITUD PREVIA Y PRESENTACION DEL PROYECTO POR PARTE DEL GAM.
DE IGUAL MANERA, SE GESTIONÓ  Y ORGANIZARON TALLERES A NIVEL NACIONAL PARA FORTALECER EN EL TEMA DE ELABORACIÓN DE ITCP Y EDTP INVITANDO A TODOS LOS GAMs."," INSTITUCIONALES PARA LA IDENTIFICACIÓN, PRIORIZACIÓN Y GESTIÓN DE PROYECTOS DE INVERSIÓN PÚBLICA EN LOS ÁMBITOS DE VIVIENDA, INFRAESTRUCTURA, AGUA, RIEGO Y DESARROLLO PRODUCTIVO, CONSIDERANDO LAS NECESIDADES TERRITORIALES, LA SITUACIÓN ECONÓMICA Y LAS CARACTERÍSTICAS SOCIOCULTURALES DE LA POBLACIÓN DE LA PROVINCIA."
43,47,,CONCLUIDO,ACTA DE REUNION,https://drive.google.com/drive/folders/1USR7HcCS_O4CSQ35bFADL7rkOjBtCKtP?usp=drive_link,,"SE REALIZA LA COORDINACIÓN CON LOS GAM SOLICITANTES PARA ORGANIZAR REUNIONES Y DAR ATENCIÓN A SUS SOLICITUDES, DUDAS, CONSULTAS O SEGUIMIENTO AL ESTADO DE SUS PROYECTOS, EN TODAS LAS DIRECCIONES. 
ASI MISMO, SE GARANTIZA LA PRIORIZACIÓN DE LOS PROYECTOS TODA VEZ QUE LAS ETAs (ENTIDADES TERRITORIALES AUTONOMAS) PRESENTEN SUS PROYECTOS EN CORTO PLAZO QUE CUMPLAN NORMATIVA VIGENTE DEL SECTOR, YA QUE NO SE PODRIA  ASEGURAR EL FINANCIAMIENTO SIN QUE HAYA UNA SOLICITUD PREVIA Y PRESENTACION DEL PROYECTO POR PARTE DEL GAM.
DE IGUAL MANERA, SE GESTIONÓ  Y ORGANIZARON TALLERES A NIVEL NACIONAL PARA FORTALECER EN EL TEMA DE ELABORACIÓN DE ITCP Y EDTP INVITANDO A TODOS LOS GAMs.","INSTITUCIONALES PARA LA IDENTIFICACIÓN, PRIORIZACIÓN Y GESTIÓN DE PROYECTOS DE INVERSIÓN PÚBLICA EN LOS ÁMBITOS DE VIVIENDA, INFRAESTRUCTURA, AGUA, RIEGO Y DESARROLLO PRODUCTIVO, CONSIDERANDO LAS NECESIDADES TERRITORIALES, LA SITUACIÓN ECONÓMICA Y LAS CARACTERÍSTICAS SOCIOCULTURALES DE LA POBLACIÓN DE LA PROVINCIA."
44,48,,CONCLUIDO,ACTA DE REUNION,https://drive.google.com/drive/folders/1USR7HcCS_O4CSQ35bFADL7rkOjBtCKtP?usp=drive_link,,"SE REALIZA LA COORDINACIÓN CON LOS GAM SOLICITANTES PARA ORGANIZAR REUNIONES Y DAR ATENCIÓN A SUS SOLICITUDES, DUDAS, CONSULTAS O SEGUIMIENTO AL ESTADO DE SUS PROYECTOS, EN TODAS LAS DIRECCIONES. 
ASI MISMO, SE GARANTIZA LA PRIORIZACIÓN DE LOS PROYECTOS TODA VEZ QUE LAS ETAs (ENTIDADES TERRITORIALES AUTONOMAS) PRESENTEN SUS PROYECTOS EN CORTO PLAZO QUE CUMPLAN NORMATIVA VIGENTE DEL SECTOR, YA QUE NO SE PODRIA  ASEGURAR EL FINANCIAMIENTO SIN QUE HAYA UNA SOLICITUD PREVIA Y PRESENTACION DEL PROYECTO POR PARTE DEL GAM.","INSTITUCIONALES PARA LA IDENTIFICACIÓN, PRIORIZACIÓN Y GESTIÓN DE PROYECTOS DE INVERSIÓN PÚBLICA EN LOS ÁMBITOS DE VIVIENDA, INFRAESTRUCTURA, AGUA, RIEGO Y DESARROLLO PRODUCTIVO, CONSIDERANDO LAS NECESIDADES TERRITORIALES, LA SITUACIÓN ECONÓMICA Y LAS CARACTERÍSTICAS SOCIOCULTURALES DE LA POBLACIÓN DE LA PROVINCIA."
45,49,,CONCLUIDO,ACTA DE REUNION,https://drive.google.com/drive/folders/1ZkfHhzmihwpX8pxtSrjeA1QqXi-uZfTU?usp=drive_link,,"SE REALIZA LA COORDINACIÓN CON LOS GAM SOLICITANTES PARA ORGANIZAR REUNIONES Y DAR ATENCIÓN A SUS SOLICITUDES, DUDAS, CONSULTAS O SEGUIMIENTO AL ESTADO DE SUS PROYECTOS, EN TODAS LAS DIRECCIONES. 
ASI MISMO, SE GARANTIZA LA PRIORIZACIÓN DE LOS PROYECTOS TODA VEZ QUE LAS ETAs (ENTIDADES TERRITORIALES AUTONOMAS) PRESENTEN SUS PROYECTOS EN CORTO PLAZO QUE CUMPLAN NORMATIVA VIGENTE DEL SECTOR, YA QUE NO SE PODRIA  ASEGURAR EL FINANCIAMIENTO SIN QUE HAYA UNA SOLICITUD PREVIA Y PRESENTACION DEL PROYECTO POR PARTE DEL GAM."," INSTITUCIONALES PARA LA IDENTIFICACIÓN, PRIORIZACIÓN Y GESTIÓN DE PROYECTOS DE INVERSIÓN PÚBLICA EN LOS ÁMBITOS DE VIVIENDA, INFRAESTRUCTURA, AGUA, RIEGO Y DESARROLLO PRODUCTIVO, CONSIDERANDO LAS NECESIDADES TERRITORIALES, LA SITUACIÓN ECONÓMICA Y LAS CARACTERÍSTICAS SOCIOCULTURALES DE LA POBLACIÓN DE LA PROVINCIA."
46,50,,CONCLUIDO,ACTA DE REUNION,https://drive.google.com/drive/folders/192PPZOOW1oQyf_5q4L7rHSNFQUPHMSXS?usp=drive_link,,"SE REALIZA LA COORDINACIÓN CON LOS GAM SOLICITANTES PARA ORGANIZAR REUNIONES Y DAR ATENCIÓN A SUS SOLICITUDES, DUDAS, CONSULTAS O SEGUIMIENTO AL ESTADO DE SUS PROYECTOS, EN TODAS LAS DIRECCIONES. 
ASI MISMO, SE GARANTIZA LA PRIORIZACIÓN DE LOS PROYECTOS TODA VEZ QUE LAS ETAs (ENTIDADES TERRITORIALES AUTONOMAS) PRESENTEN SUS PROYECTOS EN CORTO PLAZO QUE CUMPLAN NORMATIVA VIGENTE DEL SECTOR, YA QUE NO SE PODRIA  ASEGURAR EL FINANCIAMIENTO SIN QUE HAYA UNA SOLICITUD PREVIA Y PRESENTACION DEL PROYECTO POR PARTE DEL GAM."," INSTITUCIONALES PARA LA IDENTIFICACIÓN, PRIORIZACIÓN Y GESTIÓN DE PROYECTOS DE INVERSIÓN PÚBLICA EN LOS ÁMBITOS DE VIVIENDA, INFRAESTRUCTURA, AGUA, RIEGO Y DESARROLLO PRODUCTIVO, CONSIDERANDO LAS NECESIDADES TERRITORIALES, LA SITUACIÓN ECONÓMICA Y LAS CARACTERÍSTICAS SOCIOCULTURALES DE LA POBLACIÓN DE LA PROVINCIA."
47,51,,CONCLUIDO,ACTA DE REUNION,https://drive.google.com/drive/folders/1RKXG0R0alTKThxvNEVtR3q-NVK6OPz7w?usp=drive_link,,"SE REALIZA LA COORDINACIÓN CON LOS GAM SOLICITANTES PARA ORGANIZAR REUNIONES Y DAR ATENCIÓN A SUS SOLICITUDES, DUDAS, CONSULTAS O SEGUIMIENTO AL ESTADO DE SUS PROYECTOS, EN TODAS LAS DIRECCIONES. 
ASI MISMO, SE GARANTIZA LA PRIORIZACIÓN DE LOS PROYECTOS TODA VEZ QUE LAS ETAs (ENTIDADES TERRITORIALES AUTONOMAS) PRESENTEN SUS PROYECTOS EN CORTO PLAZO QUE CUMPLAN NORMATIVA VIGENTE DEL SECTOR, YA QUE NO SE PODRIA  ASEGURAR EL FINANCIAMIENTO SIN QUE HAYA UNA SOLICITUD PREVIA Y PRESENTACION DEL PROYECTO POR PARTE DEL GAM.
DE IGUAL MANERA, SE GESTIONÓ  Y ORGANIZARON TALLERES A NIVEL NACIONAL PARA FORTALECER EN EL TEMA DE ELABORACIÓN DE ITCP Y EDTP INVITANDO A TODOS LOS GAMs."," INSTITUCIONALES PARA LA IDENTIFICACIÓN, PRIORIZACIÓN Y GESTIÓN DE PROYECTOS DE INVERSIÓN PÚBLICA EN LOS ÁMBITOS DE VIVIENDA, INFRAESTRUCTURA, AGUA, RIEGO Y DESARROLLO PRODUCTIVO, CONSIDERANDO LAS NECESIDADES TERRITORIALES, LA SITUACIÓN ECONÓMICA Y LAS CARACTERÍSTICAS SOCIOCULTURALES DE LA POBLACIÓN DE LA PROVINCIA."
48,52,,CONCLUIDO,ACTA DE REUNION,https://drive.google.com/drive/folders/17MRR96Y_7z8N7dul6A4IXt6R-qxEhu-Z?usp=drive_link,,"SE REALIZA LA COORDINACIÓN CON LOS GAM SOLICITANTES PARA ORGANIZAR REUNIONES Y DAR ATENCIÓN A SUS SOLICITUDES, DUDAS, CONSULTAS O SEGUIMIENTO AL ESTADO DE SUS PROYECTOS, EN TODAS LAS DIRECCIONES. 
ASI MISMO, SE GARANTIZA LA PRIORIZACIÓN DE LOS PROYECTOS TODA VEZ QUE LAS ETAs (ENTIDADES TERRITORIALES AUTONOMAS) PRESENTEN SUS PROYECTOS EN CORTO PLAZO QUE CUMPLAN NORMATIVA VIGENTE DEL SECTOR, YA QUE NO SE PODRIA  ASEGURAR EL FINANCIAMIENTO SIN QUE HAYA UNA SOLICITUD PREVIA Y PRESENTACION DEL PROYECTO POR PARTE DEL GAM.
DE IGUAL MANERA, SE GESTIONÓ  Y ORGANIZARON TALLERES A NIVEL NACIONAL PARA FORTALECER EN EL TEMA DE ELABORACIÓN DE ITCP Y EDTP INVITANDO A TODOS LOS GAMs.","INSTITUCIONALES PARA LA IDENTIFICACIÓN, PRIORIZACIÓN Y GESTIÓN DE PROYECTOS DE INVERSIÓN PÚBLICA EN LOS ÁMBITOS DE VIVIENDA, INFRAESTRUCTURA, AGUA, RIEGO Y DESARROLLO PRODUCTIVO, CONSIDERANDO LAS NECESIDADES TERRITORIALES, LA SITUACIÓN ECONÓMICA Y LAS CARACTERÍSTICAS SOCIOCULTURALES DE LA POBLACIÓN DE LA PROVINCIA."
49,53,,CONCLUIDO,ACTA DE REUNION,https://drive.google.com/drive/folders/17MRR96Y_7z8N7dul6A4IXt6R-qxEhu-Z?usp=drive_link,,"SE REALIZA LA COORDINACIÓN CON LOS GAM SOLICITANTES PARA ORGANIZAR REUNIONES Y DAR ATENCIÓN A SUS SOLICITUDES, DUDAS, CONSULTAS O SEGUIMIENTO AL ESTADO DE SUS PROYECTOS, EN TODAS LAS DIRECCIONES. 
ASI MISMO, SE GARANTIZA LA PRIORIZACIÓN DE LOS PROYECTOS TODA VEZ QUE LAS ETAs (ENTIDADES TERRITORIALES AUTONOMAS) PRESENTEN SUS PROYECTOS EN CORTO PLAZO QUE CUMPLAN NORMATIVA VIGENTE DEL SECTOR, YA QUE NO SE PODRIA  ASEGURAR EL FINANCIAMIENTO SIN QUE HAYA UNA SOLICITUD PREVIA Y PRESENTACION DEL PROYECTO POR PARTE DEL GAM.
DE IGUAL MANERA, SE GESTIONÓ  Y ORGANIZARON TALLERES A NIVEL NACIONAL PARA FORTALECER EN EL TEMA DE ELABORACIÓN DE ITCP Y EDTP INVITANDO A TODOS LOS GAMs."," INSTITUCIONALES PARA LA IDENTIFICACIÓN, PRIORIZACIÓN Y GESTIÓN DE PROYECTOS DE INVERSIÓN PÚBLICA EN LOS ÁMBITOS DE VIVIENDA, INFRAESTRUCTURA, AGUA, RIEGO Y DESARROLLO PRODUCTIVO, CONSIDERANDO LAS NECESIDADES TERRITORIALES, LA SITUACIÓN ECONÓMICA Y LAS CARACTERÍSTICAS SOCIOCULTURALES DE LA POBLACIÓN DE LA PROVINCIA."
50,54,,CONCLUIDO,ACTA DE REUNION,ACTA DE REUNIÓN EN FECHA 30 DE JUNIO Y 1 DE ULIO DEL 2026,VER ACTAS DE REUNIONES,"SE HA PRIORIZADO LA ELABORACION DE EDTP CONSTRUCCIÓN DE SISTEMA DE RIEGO ASOCIACIÓN DE REGANTES DE WILA WARANKHA “ARWA” (GAM AYO AYO).

SE SOSTUVO UNA REUNIÓN EN FECHA 30/06/2026 EN INSTALACIONES DEL VICEMINISTERIO DE RECURSOS HÍDRICOS, RIEGO, AGUA POTABLE Y SANEAMIENTO BÁSICO CON AUTORIDADES DEL MUNICIPIO DE SICA SICA, EN LA CUAL SE LES EXPLICO LA SITUACIÓN ACTUAL DE LOS 6 ITCP´s (LARICAYA, SANTA ROSA, VILUYO GRANDE, LAMPAYA, COLLPA PUCHO Y CALA CALA)

ASIMISMO, SE SORTUVO OTRA REUNIÓN EN FECHA 01/07/2026  EN INSTALACIONES DEL VICEMINISTERIO DE RECURSOS HÍDRICOS, RIEGO, AGUA POTABLE Y SANEAMIENTO BÁSICO CON AUTORIDADES DEL MUNICIPIO DE SICA SICA, TUPAC KATARI, EN LA CUAL SE LES SOCIALIZÓ EL PROGRAMA ""GESTIÓN RESILIENTE"" EL CUAL SE ENCUENTRA VIGENTE.   EN FECHA 16 DE JUNIO SE SOSTUVO UNA REUNIÓN CON LA ALCALDESA DE CALAMARCA Y EL PERSONAL DEL VRHRAPYSB, EN LA CUAL SE INFORMÓ QUE EL 2023 SE DEVOLVIÓ 2 EDTP AL MUNICIPIO CON OBSERVACIONES.
TAMBIÉN INDICARON QUE REMITIERON UNA NOTA DE SOLICITUD DE FINANCIAMIENTO PARA EL PROYECTO ""CONST. IMPLEMENTACIÓN SIST DE AGUA POTABLE SUBCENTRAL CHOCOROSI CHOCOROSI - SAN PEDRO - CHOCOROSI ALTO CHOCOROSI""   RESPECTO AL GAM DE SAN PEDRO DE COLLANA SE ENCUENTRA EN ETAPA DE EJECUCION DEL PROYECTO ""IMPLEMENTACION DE LA GESTION INTEGRAL DE RESIDUOS SOLIDOS EN EL MUNICIPIO DE COLLANA"" A TRAVES DEL PROGRAMA DE SANEAMIENTO DEL LAGO TITICACA - PSLT.(AVANCE FISICO 36,7%)                                        ",SE ADJUNTAN ACTAS DE REUNIONES E ITCP REVISADO
51,55,,CONCLUIDO,ACTA DE REUNION,https://drive.google.com/drive/folders/1DMlQuNN_HnD3pzVqCi2IiUE1AioGneOY?usp=drive_link,,"CON EL PROPÓSITO DE IMPULSAR EL DESARROLLO DE PROYECTOS DE AGUA Y RIEGO, SE MANTIENE UNA COORDINACIÓN CONTINUA CON LOS GOBIERNOS AUTÓNOMOS MUNICIPALES (GAM) PARA BRINDAR ATENCIÓN A SUS SOLICITUDES, ABSOLVER CONSULTAS TÉCNICAS Y REALIZAR EL SEGUIMIENTO AL ESTADO DE SUS TRÁMITES EN TODAS LAS DIRECCIONES DE LA INSTITUCIÓN.",SE REALIZARA REUNIONES PERIODICAS PARA SEGUIMIENTO
52,56,,CONCLUIDO,NOTA DE RESPUESTA,NOTA DE RESPUESTA,"ELIAS TRIGO 72852259, MARCELA JOFRE 69993694","SE TIENE UNA SOLICITUD DEL GAM INQUISIVI PARA FINANCIAMIENTO DE PROYECTO PAMPA GRANDE, A LA CUAL SE RESPONDIO EN FECHA 3 DE JULIO EXPLICANDO EL PROCEDIMIENTO QUE SE DEBE SEGUIR PARA LA PRESENTACIÓN DE ITCPs Y EDTPs Y PODER PRIORIZAR LOS PROYECTOS. EN FECHA 30 DE JUNIO DE 2026, EL VICEMINISTERIO SOSTUVO UNA REUNIÓN CON LOS REPRESENTANTES DE REGANTES Y CONCEJALES DEL GAM DE CAJUATA, DONDE SE REVISÓ EL ESTADO DEL PROYECTO ""MEJORAMIENTO Y AMPLIACIÓN SISTEMA DE AGUA POTABLE AGUA RICA-CAJUATA"", EL CUAL CONTABA CON OBSERVACIONES YA REMITIDAS mediante la HR- E-MMAYA/2023-21312, LA CUAL DEBE REFORMULARSE POR LA ENTIDAD SOLICITANTE	EL PROYECTO SE ENCUENTRA CON EL GAM DESDE 10/24/2023	CON LA NOTA UPYGF 0897/2023 E INFORME TECNICO 0378-2023, SE COMPROMETIO ACTULZIAR EL PROYECTO Y REMITIRLO, A LA FECHA NO SE REMITIO EL PROYECTO CORREGIDO",
53,57,,CONCLUIDO,ACTA DE REUNION,https://drive.google.com/drive/folders/1feC-eZMNxiAQi6FZFlRc24uw65D2ZjuK?usp=drive_link,,"SE REALIZA LA COORDINACIÓN CON LOS GAM SOLICITANTES PARA ORGANIZAR REUNIONES Y DAR ATENCIÓN A SUS SOLICITUDES, DUDAS, CONSULTAS O SEGUIMIENTO AL ESTADO DE SUS PROYECTOS, EN TODAS LAS DIRECCIONES. 
ASIMISMO, SE GARANTIZA LA PRIORIZACIÓN DE LOS PROYECTOS TODA VEZ QUE LAS ETAs (ENTIDADES TERRITORIALES AUTONOMAS) PRESENTEN SUS PROYECTOS EN CORTO PLAZO QUE CUMPLAN NORMATIVA VIGENTE DEL SECTOR, YA QUE NO SE PODRIA  ASEGURAR EL FINANCIAMIENTO SIN QUE HAYA UNA SOLICITUD PREVIA Y PRESENTACION DEL PROYECTO POR PARTE DEL GAM.
DE IGUAL MANERA, SE GESTIONÓ  Y ORGANIZARON TALLERES A NIVEL NACIONAL PARA FORTALECER EN EL TEMA DE ELABORACIÓN DE ITCP Y EDTP INVITANDO A TODOS LOS GAMs.",
